dataset_id,group,quadrat_filter,msi_space,msi_median,ari_median,k_median,config
200DATA,clust,False,feature,0.8206673403518276,,3.0,noQF+FEATURE
200DATA,clust,False,mds,0.8265594109427522,,3.0,noQF+MDS
200DATA,clust,True,feature,0.8235595167476474,,3.0,QF+FEATURE
200DATA,clust,True,mds,0.8236673449113173,,3.0,QF+MDS
400P3C,clust,False,feature,0.8262185662484274,,3.0,noQF+FEATURE
400P3C,clust,False,mds,0.8228268605648075,,3.0,noQF+MDS
400P3C,clust,True,feature,0.8281815764995315,,3.0,QF+FEATURE
400P3C,clust,True,mds,0.8175097175879644,,3.0,QF+MDS
AGGREGATION,classf,False,feature,0.46459269897862,0.6368594599683851,6.0,noQF+FEATURE
AGGREGATION,classf,False,mds,0.4915097422651789,0.671629878640023,4.0,noQF+MDS
AGGREGATION,classf,True,feature,0.4781002717508494,0.6679849880293653,4.0,QF+FEATURE
AGGREGATION,classf,True,mds,0.4579291805004459,0.7039931905419008,5.0,QF+MDS
BROKEN-RING,clust,False,feature,0.4569438688336357,,7.0,noQF+FEATURE
BROKEN-RING,clust,False,mds,0.4364451679880535,,8.0,noQF+MDS
BROKEN-RING,clust,True,feature,0.4667247892604844,,7.0,QF+FEATURE
BROKEN-RING,clust,True,mds,0.4592357358510334,,6.0,QF+MDS
CHART,clust,False,feature,0.291112241073948,,2.0,noQF+FEATURE
CHART,clust,False,mds,0.4036894811577701,,4.0,noQF+MDS
CHART,clust,True,feature,0.2885994480159497,,2.0,QF+FEATURE
CHART,clust,True,mds,0.4234693286608558,,3.0,QF+MDS
CONCRETEDATA,clust,False,feature,0.4576308929035317,,2.0,noQF+FEATURE
CONCRETEDATA,clust,False,mds,0.3863316283624255,,2.0,noQF+MDS
CONCRETEDATA,clust,True,feature,0.3934791088064241,,2.0,QF+FEATURE
CONCRETEDATA,clust,True,mds,0.4612332824072765,,2.0,QF+MDS
ECOLI,classf,False,feature,0.5768730557988605,0.0300346524490919,2.0,noQF+FEATURE
ECOLI,classf,False,mds,0.5774874633852597,0.030160852534396,2.0,noQF+MDS
ECOLI,classf,True,feature,0.6049262158429575,0.0265252276876572,2.0,QF+FEATURE
ECOLI,classf,True,mds,0.563482643865677,0.411672171649737,3.0,QF+MDS
FACE,clust,False,feature,0.5566949328586043,,4.0,noQF+FEATURE
FACE,clust,False,mds,0.5541478496163184,,4.0,noQF+MDS
FACE,clust,True,feature,0.55664562358501,,5.0,QF+FEATURE
FACE,clust,True,mds,0.5516275828370223,,5.0,QF+MDS
GAUSS9,clust,False,feature,0.2423023938029125,,6.0,noQF+FEATURE
GAUSS9,clust,False,mds,0.2584911615561658,,5.0,noQF+MDS
GAUSS9,clust,True,feature,0.3321296869768657,,8.0,QF+FEATURE
GAUSS9,clust,True,mds,0.3588519375360799,,5.0,QF+MDS
IRIS,classf,False,feature,0.6872543872880774,0.6384170860268955,2.0,noQF+FEATURE
IRIS,classf,False,mds,0.5418185987207754,0.4929924538586736,3.0,noQF+MDS
IRIS,classf,True,feature,0.6830933926782649,0.6140393407084463,2.0,QF+FEATURE
IRIS,classf,True,mds,0.6509693114209254,0.5960758892538375,2.0,QF+MDS
JAIN,classf,False,feature,0.5083756783749925,0.5480604650688513,2.0,noQF+FEATURE
JAIN,classf,False,mds,0.4907467873691978,0.3234622586391213,3.0,noQF+MDS
JAIN,classf,True,feature,0.5072126622316901,0.3257496591872929,3.0,QF+FEATURE
JAIN,classf,True,mds,0.4793722916700844,0.3154550938858831,4.0,QF+MDS
OUTLIERS,clust,False,feature,0.5632475826275197,,2.0,noQF+FEATURE
OUTLIERS,clust,False,mds,0.5614692953546221,,2.0,noQF+MDS
OUTLIERS,clust,True,feature,0.5605312827695187,,2.0,QF+FEATURE
OUTLIERS,clust,True,mds,0.5560297700458188,,2.0,QF+MDS
PIMA-INDIANS,classf,False,feature,0.4774631559948475,0.0065418798386826,2.0,noQF+FEATURE
PIMA-INDIANS,classf,False,mds,0.3896801577700499,0.0829465141386325,2.0,noQF+MDS
PIMA-INDIANS,classf,True,feature,0.4926905822830681,0.0065210672071154,2.0,QF+FEATURE
PIMA-INDIANS,classf,True,mds,0.3894035451072638,0.1426476400808584,3.0,QF+MDS
RUSPINI,clust,False,feature,0.7938731758477058,,4.0,noQF+FEATURE
RUSPINI,clust,False,mds,0.7904830040325008,,4.0,noQF+MDS
RUSPINI,clust,True,feature,0.7911720027852234,,4.0,QF+FEATURE
RUSPINI,clust,True,mds,0.7935189130575678,,4.0,QF+MDS
SONAR,clust,False,feature,0.5315906895570288,,2.0,noQF+FEATURE
SONAR,clust,False,mds,0.5347994656430585,,2.0,noQF+MDS
SONAR,clust,True,feature,0.534496757377854,,2.0,QF+FEATURE
SONAR,clust,True,mds,0.5164823450104078,,2.0,QF+MDS
TRIPADVISOR,clust,False,feature,0.4679344540121999,,2.0,noQF+FEATURE
TRIPADVISOR,clust,False,mds,0.4136480269389277,,2.0,noQF+MDS
TRIPADVISOR,clust,True,feature,0.4704597052033845,,2.0,QF+FEATURE
TRIPADVISOR,clust,True,mds,0.410995842183834,,2.0,QF+MDS
WAVEFORM21,clust,False,feature,0.2476181685168775,,6.0,noQF+FEATURE
WAVEFORM21,clust,False,mds,0.2205637483594852,,11.0,noQF+MDS
WAVEFORM21,clust,True,feature,0.2263992850313212,,7.0,QF+FEATURE
WAVEFORM21,clust,True,mds,0.2475552423681644,,4.0,QF+MDS
WDBC,classf,False,feature,0.6372428897807519,0.0157115193862583,2.0,noQF+FEATURE
WDBC,classf,False,mds,0.5753566842182346,0.0024136064449987,2.0,noQF+MDS
WDBC,classf,True,feature,0.640583174519608,0.0162692967003885,2.0,QF+FEATURE
WDBC,classf,True,mds,0.5700555394804475,0.0147834439183385,2.0,QF+MDS
WINE,classf,False,feature,0.602421336053198,0.0008054428816337,2.0,noQF+FEATURE
WINE,classf,False,mds,0.5992136240029817,0.0073572505937848,3.0,noQF+MDS
WINE,classf,True,feature,0.609162242313756,0.0010438440946171,2.0,QF+FEATURE
WINE,classf,True,mds,0.6132529791841986,0.0066727230147875,3.0,QF+MDS
YEAST,classf,False,feature,0.5056368435226921,0.0079059835592124,2.0,noQF+FEATURE
YEAST,classf,False,mds,0.6343282401768385,-0.0010038578679652,2.0,noQF+MDS
YEAST,classf,True,feature,0.4989119282852933,0.014791882728251,2.0,QF+FEATURE
YEAST,classf,True,mds,0.6543971165678234,-0.0010971910543473,2.0,QF+MDS
