dataset_id,group,quadrat_filter,msi_space,seed,k,msi,ari,internal_cost
200DATA,clust,True,feature,0,3,0.8190871543011721,,-0.8147305397514332
200DATA,clust,True,feature,1,3,0.828278147045662,,-0.8254138412434968
200DATA,clust,True,feature,2,3,0.8158198096864938,,-0.8212119608588407
200DATA,clust,True,feature,3,3,0.8235595167476474,,-0.822195426741221
200DATA,clust,True,feature,4,3,0.8235595167476474,,-0.822195426741221
200DATA,clust,True,mds,0,3,0.8236673449113173,,-0.8089830231655637
200DATA,clust,True,mds,1,3,0.826834145788864,,-0.8108146548888203
200DATA,clust,True,mds,2,3,0.8292347616767562,,-0.8120080200938475
200DATA,clust,True,mds,3,3,0.821083460921758,,-0.8036554733572031
200DATA,clust,True,mds,4,3,0.8220316111923275,,-0.8073912216772778
200DATA,clust,False,feature,0,3,0.8279785706733276,,-0.8245751665593523
200DATA,clust,False,feature,1,3,0.8206673403518276,,-0.8193533583720153
200DATA,clust,False,feature,2,3,0.8173100159517507,,-0.8207043014641291
200DATA,clust,False,feature,3,3,0.8233922152175972,,-0.8177437312702767
200DATA,clust,False,feature,4,3,0.813311853796901,,-0.8128104046303971
200DATA,clust,False,mds,0,3,0.8265594109427522,,-0.8111201997411006
200DATA,clust,False,mds,1,3,0.8298429061042439,,-0.8099811261412357
200DATA,clust,False,mds,2,3,0.8282052512720812,,-0.8135489886170563
200DATA,clust,False,mds,3,4,0.691431185190131,,-0.8065852752123154
200DATA,clust,False,mds,4,3,0.8228654949063152,,-0.8082922255250852
400P3C,clust,True,feature,0,3,0.8234431265019575,,-0.8225079529993055
400P3C,clust,True,feature,1,3,0.8281815764995315,,-0.8290403108931784
400P3C,clust,True,feature,2,3,0.828910236449586,,-0.8301280386017588
400P3C,clust,True,feature,3,3,0.8224002886919766,,-0.8232627212606155
400P3C,clust,True,feature,4,3,0.8322562904682557,,-0.8340028292495663
400P3C,clust,True,mds,0,3,0.8195671947556366,,-0.8216703794886776
400P3C,clust,True,mds,1,4,0.7439141530872695,,-0.8275644164968753
400P3C,clust,True,mds,2,3,0.8175097175879644,,-0.8216469527482382
400P3C,clust,True,mds,3,3,0.8173407166535009,,-0.8205541190958583
400P3C,clust,True,mds,4,3,0.8236476114593552,,-0.8260295917155117
400P3C,clust,False,feature,0,3,0.8268638829357164,,-0.829061768594812
400P3C,clust,False,feature,1,3,0.8230624747127522,,-0.8240319168740471
400P3C,clust,False,feature,2,3,0.8262185662484274,,-0.8268391539264239
400P3C,clust,False,feature,3,3,0.8270097825271732,,-0.8284077359435464
400P3C,clust,False,feature,4,3,0.8237959086960188,,-0.8237859188864847
400P3C,clust,False,mds,0,3,0.8276858625232014,,-0.8317505318040384
400P3C,clust,False,mds,1,3,0.8266798663989325,,-0.829003997160062
400P3C,clust,False,mds,2,3,0.8198482797784516,,-0.8218794349279184
400P3C,clust,False,mds,3,3,0.8215336935301137,,-0.8289243755743481
400P3C,clust,False,mds,4,3,0.8228268605648075,,-0.8265877829872113
BROKEN-RING,clust,True,feature,0,6,0.4667247892604844,,-0.46674334668318224
BROKEN-RING,clust,True,feature,1,5,0.5080224555810054,,-0.5081592041455161
BROKEN-RING,clust,True,feature,2,7,0.4669624204817099,,-0.4669925994897225
BROKEN-RING,clust,True,feature,3,11,0.4272745645510069,,-0.4539709447792855
BROKEN-RING,clust,True,feature,4,10,0.4193922071898433,,-0.4801030576382358
BROKEN-RING,clust,True,mds,0,8,0.41897533687845023,,-0.41912770151725787
BROKEN-RING,clust,True,mds,1,6,0.4592357358510334,,-0.45932917356273073
BROKEN-RING,clust,True,mds,2,5,0.5071506897670002,,-0.5071606208296886
BROKEN-RING,clust,True,mds,3,9,0.3097581758553024,,-0.38685497307846106
BROKEN-RING,clust,True,mds,4,5,0.5155603609579319,,-0.515532081659422
BROKEN-RING,clust,False,feature,0,7,0.43998639305479037,,-0.4399667310977875
BROKEN-RING,clust,False,feature,1,5,0.5057108952085324,,-0.5057669273743597
BROKEN-RING,clust,False,feature,2,8,0.4347329288177352,,-0.45176011390450843
BROKEN-RING,clust,False,feature,3,5,0.5063143123618441,,-0.5063703089811177
BROKEN-RING,clust,False,feature,4,11,0.4569438688336357,,-0.4765189957787079
BROKEN-RING,clust,False,mds,0,10,0.43644516798805355,,-0.4579216353973971
BROKEN-RING,clust,False,mds,1,5,0.47139124273343896,,-0.4709708867326323
BROKEN-RING,clust,False,mds,2,6,0.4552839041546349,,-0.4556121258066697
BROKEN-RING,clust,False,mds,3,9,0.3654042908550873,,-0.4209994897341956
BROKEN-RING,clust,False,mds,4,8,0.43282676537811315,,-0.4349428027270112
CHART,clust,True,feature,0,3,0.4186752500649718,,-0.09456418483405299
CHART,clust,True,feature,1,2,0.2154423964840837,,-0.18168717642950633
CHART,clust,True,feature,2,2,0.2885847476987093,,-0.22730483334197782
CHART,clust,True,feature,3,2,0.2885994480159497,,-0.22771110042080983
CHART,clust,True,feature,4,3,0.4223536516955818,,-0.11119967637077288
CHART,clust,True,mds,0,3,0.43543991468370263,,-0.4266923876660283
CHART,clust,True,mds,1,4,0.36183891292014736,,-0.3996315956041484
CHART,clust,True,mds,2,3,0.42574527484133534,,-0.4224625422851403
CHART,clust,True,mds,3,3,0.42346932866085585,,-0.42960786397867273
CHART,clust,True,mds,4,5,0.3297607836262202,,-0.42699945798339956
