dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
2-FACE,clust,brkga,0,2,0.5651791019450051,,-0.554833,27.33,20,0
2-FACE,clust,brkga,1,2,0.5483288327526038,,-0.535308,46.36,20,0
2-FACE,clust,brkga,2,2,0.5744881972818069,,-0.56346,35.28,20,0
2-FACE,clust,brkga,3,2,0.5424369093878484,,-0.521131,24.52,20,0
2-FACE,clust,brkga,4,2,0.5354854296860188,,-0.526105,25.32,20,0
2-FACE,clust,brkga,5,2,0.5354854296860188,,-0.526105,57.23,20,0
2-FACE,clust,brkga,6,2,0.5644581536580304,,-0.553724,61.99,20,0
2-FACE,clust,brkga,7,2,0.5469238924175622,,-0.537765,27.73,20,0
2-FACE,clust,brkga,8,2,0.5363603332510261,,-0.530188,60.3,20,0
2-FACE,clust,brkga,9,2,0.5582440412769255,,-0.553273,61.36,20,0
2-FACE,clust,brkga,10,2,0.5584503994045992,,-0.548384,57.57,20,0
2-FACE,clust,brkga,11,2,0.5551284083910887,,-0.539807,30.07,20,0
2-FACE,clust,brkga,12,2,0.5363603332510261,,-0.530188,58.37,20,0
2-FACE,clust,brkga,13,2,0.540594539494774,,-0.531681,29.91,20,0
2-FACE,clust,brkga,14,2,0.540594539494774,,-0.531681,57.05,20,0
2-FACE,clust,brkga,15,2,0.5469238924175622,,-0.537765,57.94,20,0
2-FACE,clust,brkga,16,2,0.5370262953803072,,-0.513736,62.47,20,0
2-FACE,clust,brkga,17,2,0.5469238924175622,,-0.537765,52.45,20,0
2-FACE,clust,brkga,18,2,0.5341793689297276,,-0.5152,27.26,20,0
2-FACE,clust,brkga,19,2,0.522926382390639,,-0.512613,20.54,20,0
