dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
2-FACE,clust,ils,0,2,0.5313092368947857,,-0.518996,45.49,20,0
2-FACE,clust,ils,1,2,0.5103056482976226,,-0.495842,13.48,20,0
2-FACE,clust,ils,2,3,0.48432004015239083,,-0.516326,39.15,20,0
2-FACE,clust,ils,3,2,0.5240691153373607,,-0.502618,47.93,20,0
2-FACE,clust,ils,4,5,0.4416023902107296,,-0.455145,40.56,20,0
2-FACE,clust,ils,5,2,0.5456122735754652,,-0.534871,47.8,20,0
2-FACE,clust,ils,6,2,0.4865430661844766,,-0.480759,5.2,20,0
2-FACE,clust,ils,7,2,0.5644581536580304,,-0.553724,50.57,20,0
2-FACE,clust,ils,8,6,0.43740945947142673,,-0.448617,34.47,20,0
2-FACE,clust,ils,9,3,0.49332766386321164,,-0.511166,58.04,20,0
2-FACE,clust,ils,10,2,0.5454060815918522,,-0.533223,10.02,20,0
2-FACE,clust,ils,11,2,0.5763757605855854,,-0.561825,51.46,20,0
2-FACE,clust,ils,12,4,0.4337830300554389,,-0.440475,51.36,20,0
2-FACE,clust,ils,13,2,0.5464658307629303,,-0.530702,61.61,20,0
2-FACE,clust,ils,14,4,0.25920906780073705,,-0.448738,42.98,20,0
2-FACE,clust,ils,15,2,0.5713190863047667,,-0.560296,28.48,20,0
2-FACE,clust,ils,16,2,0.5542274911640737,,-0.540533,61.18,20,0
2-FACE,clust,ils,17,2,0.5490918265658975,,-0.536262,41.78,20,0
2-FACE,clust,ils,18,4,0.3962590302640035,,-0.494688,56.4,20,0
2-FACE,clust,ils,19,2,0.5713190863047667,,-0.560296,47.36,20,0
