dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
2-FACE,clust,vns,0,2,0.5456122735754652,,-0.534871,55.25,20,0
2-FACE,clust,vns,1,2,0.5454060815918522,,-0.533223,60.9,20,0
2-FACE,clust,vns,2,2,0.5187813182485872,,-0.491772,57.26,20,0
2-FACE,clust,vns,3,2,0.5234908443644517,,-0.510223,8.91,20,0
2-FACE,clust,vns,4,2,0.5369065025015083,,-0.514493,19.69,20,0
2-FACE,clust,vns,5,2,0.5713190863047667,,-0.560296,38.51,20,0
2-FACE,clust,vns,6,2,0.57860867088948,,-0.566652,24.31,20,0
2-FACE,clust,vns,7,2,0.5644581536580304,,-0.553724,62.36,20,0
2-FACE,clust,vns,8,2,0.40144510691911345,,-0.532706,17.99,20,0
2-FACE,clust,vns,9,2,0.5542274911640737,,-0.540533,56.03,20,0
2-FACE,clust,vns,10,2,0.5320998497439539,,-0.522287,54.78,20,0
2-FACE,clust,vns,11,6,0.4386195318277106,,-0.462243,62.4,20,0
2-FACE,clust,vns,12,4,0.4140862408633344,,-0.491674,39.12,20,0
2-FACE,clust,vns,13,3,0.46384376615529654,,-0.473221,33.08,20,0
2-FACE,clust,vns,14,2,0.5595112051657876,,-0.542875,61.24,20,0
2-FACE,clust,vns,15,2,0.587794927316141,,-0.577054,30.7,20,0
2-FACE,clust,vns,16,3,0.47649881040737635,,-0.507799,42.99,20,0
2-FACE,clust,vns,17,2,0.5644581536580304,,-0.553724,50.39,20,0
2-FACE,clust,vns,18,2,0.5210051001402024,,-0.508046,41.88,20,0
2-FACE,clust,vns,19,2,0.5229578217823486,,-0.511112,13.43,20,0
