dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
200DATA,clust,brkga,0,3,0.8094963350239264,,-0.805732,63.22,20,0
200DATA,clust,brkga,1,3,0.8041874027423357,,-0.799508,40.5,20,0
200DATA,clust,brkga,2,3,0.8066000762527719,,-0.801995,56.02,20,0
200DATA,clust,brkga,3,3,0.8049425803805804,,-0.799107,58.3,20,0
200DATA,clust,brkga,4,3,0.8026552495310368,,-0.798537,45.87,20,0
200DATA,clust,brkga,5,3,0.8024646013485757,,-0.797497,55.3,20,0
200DATA,clust,brkga,6,3,0.8024370729558851,,-0.798632,54.5,20,0
200DATA,clust,brkga,7,3,0.8070786466767779,,-0.802125,31.08,20,0
200DATA,clust,brkga,8,3,0.8066462221860597,,-0.802495,54.98,20,0
200DATA,clust,brkga,9,3,0.8047280900300888,,-0.800103,25.94,20,0
200DATA,clust,brkga,10,3,0.8031808802795514,,-0.799148,49.87,20,0
200DATA,clust,brkga,11,3,0.8064946018598721,,-0.801297,31.72,20,0
200DATA,clust,brkga,12,3,0.8049756424830896,,-0.800676,60.61,20,0
200DATA,clust,brkga,13,3,0.8087012711272384,,-0.804298,53.82,20,0
200DATA,clust,brkga,14,3,0.8051695377732687,,-0.800617,62.14,20,0
200DATA,clust,brkga,15,3,0.800734060086573,,-0.797032,31.59,20,0
200DATA,clust,brkga,16,3,0.806076411704854,,-0.800982,52.66,20,0
200DATA,clust,brkga,17,3,0.8069429086471293,,-0.803003,59.56,20,0
200DATA,clust,brkga,18,3,0.8053716756957082,,-0.801292,59.64,20,0
200DATA,clust,brkga,19,3,0.8067105608150815,,-0.801627,60.7,20,0
