dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
200DATA,clust,ils,0,3,0.8274964560338885,,-0.823067,21.14,20,0
200DATA,clust,ils,1,3,0.81526955306075,,-0.813549,49.57,20,0
200DATA,clust,ils,2,3,0.81526955306075,,-0.813549,60.97,20,0
200DATA,clust,ils,3,3,0.8108899667776797,,-0.806706,62.55,20,0
200DATA,clust,ils,4,3,0.8104830323090128,,-0.80714,37.39,20,0
200DATA,clust,ils,5,3,0.8053376135669165,,-0.801157,40.42,20,0
200DATA,clust,ils,6,3,0.8051603830154713,,-0.800766,60.84,20,0
200DATA,clust,ils,7,3,0.8229837809260406,,-0.818206,60.99,20,0
200DATA,clust,ils,8,3,0.8090294340949625,,-0.806298,50.0,20,0
200DATA,clust,ils,9,3,0.8060780113819399,,-0.802206,27.39,20,0
200DATA,clust,ils,10,3,0.8095316332719057,,-0.807837,49.36,20,0
200DATA,clust,ils,11,3,0.8194500123469566,,-0.814442,30.16,20,0
200DATA,clust,ils,12,3,0.825592693980229,,-0.821632,57.97,20,0
200DATA,clust,ils,13,5,0.5081255338954711,,-0.796072,57.97,20,0
200DATA,clust,ils,14,3,0.8110137924063793,,-0.806761,39.88,20,0
200DATA,clust,ils,15,3,0.8065755276329429,,-0.804643,52.71,20,0
200DATA,clust,ils,16,3,0.8115930349374757,,-0.809,53.41,20,0
200DATA,clust,ils,17,3,0.8053376135669165,,-0.801157,37.39,20,0
200DATA,clust,ils,18,3,0.8104195335425561,,-0.808768,54.21,20,0
200DATA,clust,ils,19,3,0.8070445692804021,,-0.802986,58.44,20,0
