dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
200DATA,clust,vns,0,3,0.8183185263171948,,-0.813396,55.32,20,0
200DATA,clust,vns,1,3,0.8113494273434025,,-0.807328,35.9,20,0
200DATA,clust,vns,2,3,0.8093141668180134,,-0.806618,47.0,20,0
200DATA,clust,vns,3,3,0.8043785719695995,,-0.80219,43.74,20,0
200DATA,clust,vns,4,3,0.8121038980136642,,-0.808345,59.27,20,0
200DATA,clust,vns,5,4,0.6469411858294914,,-0.80382,40.51,20,0
200DATA,clust,vns,6,3,0.8102947064418999,,-0.805772,43.5,20,0
200DATA,clust,vns,7,3,0.8131082889276969,,-0.812495,54.7,20,0
200DATA,clust,vns,8,3,0.811157622540279,,-0.809977,34.41,20,0
200DATA,clust,vns,9,3,0.8091461048071589,,-0.80546,30.07,20,0
200DATA,clust,vns,10,3,0.8140199196247844,,-0.810964,34.41,20,0
200DATA,clust,vns,11,3,0.8122079013556447,,-0.811796,59.82,20,0
200DATA,clust,vns,12,3,0.8108218943423416,,-0.809156,58.72,20,0
200DATA,clust,vns,13,3,0.8093044091359238,,-0.806924,33.68,20,0
200DATA,clust,vns,14,3,0.8067400687931121,,-0.802694,43.74,20,0
200DATA,clust,vns,15,3,0.818815266649216,,-0.81729,31.27,20,0
200DATA,clust,vns,16,3,0.8086669858519681,,-0.805835,59.39,20,0
200DATA,clust,vns,17,3,0.8113494273434025,,-0.807328,15.93,20,0
200DATA,clust,vns,18,3,0.8089245621662153,,-0.80799,17.1,20,0
200DATA,clust,vns,19,3,0.5563979982432701,,-0.796726,47.71,20,0
