dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
400P3C,clust,brkga,0,3,0.8224905491077786,,-0.820236,33.31,20,0
400P3C,clust,brkga,1,3,0.8227754671390451,,-0.820052,24.06,20,0
400P3C,clust,brkga,2,3,0.8234695342008962,,-0.817638,62.12,20,0
400P3C,clust,brkga,3,3,0.8198098289793322,,-0.817238,24.65,20,0
400P3C,clust,brkga,4,3,0.8234732607047364,,-0.818516,59.56,20,0
400P3C,clust,brkga,5,4,0.756454847360758,,-0.817521,24.16,20,0
400P3C,clust,brkga,6,5,0.689032345758509,,-0.820545,26.27,20,0
400P3C,clust,brkga,7,3,0.8233193099826526,,-0.821496,51.06,20,0
400P3C,clust,brkga,8,3,0.822034243342075,,-0.817095,54.3,20,0
400P3C,clust,brkga,9,3,0.8267438124653146,,-0.821487,61.01,20,0
400P3C,clust,brkga,10,3,0.8244361672663051,,-0.821166,28.48,20,0
400P3C,clust,brkga,11,3,0.8232282556302645,,-0.821113,56.9,20,0
400P3C,clust,brkga,12,3,0.8238159212498667,,-0.820553,24.8,20,0
400P3C,clust,brkga,13,3,0.8248213516897397,,-0.822004,62.09,20,0
400P3C,clust,brkga,14,3,0.8244115261226218,,-0.821819,24.66,20,0
400P3C,clust,brkga,15,3,0.8225613029176664,,-0.818643,29.51,20,0
400P3C,clust,brkga,16,3,0.8264721327850649,,-0.822085,62.48,20,0
400P3C,clust,brkga,17,4,0.745411890198619,,-0.818466,19.68,20,0
400P3C,clust,brkga,18,3,0.8237035688052101,,-0.818918,55.12,20,0
400P3C,clust,brkga,19,3,0.8229569549518874,,-0.820745,51.27,20,0
