dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
400P3C,clust,ils,0,3,0.8325880024911363,,-0.828863,39.3,20,0
400P3C,clust,ils,1,3,0.8330587676142734,,-0.82705,56.12,20,0
400P3C,clust,ils,2,3,0.8346696671778782,,-0.827199,38.34,20,0
400P3C,clust,ils,3,3,0.8296616880318011,,-0.825406,34.46,20,0
400P3C,clust,ils,4,3,0.8258501079584094,,-0.821013,21.85,20,0
400P3C,clust,ils,5,3,0.8228436715920295,,-0.816611,57.11,20,0
400P3C,clust,ils,6,4,0.763230812048744,,-0.820026,56.14,20,0
400P3C,clust,ils,7,4,0.7388935923325188,,-0.822798,46.25,20,0
400P3C,clust,ils,8,3,0.8306354199451126,,-0.826886,38.29,20,0
400P3C,clust,ils,9,4,0.7527784190274318,,-0.82183,60.79,20,0
400P3C,clust,ils,10,4,0.7376228098931127,,-0.821117,41.36,20,0
400P3C,clust,ils,11,3,0.8278759356013532,,-0.821731,56.94,20,0
400P3C,clust,ils,12,4,0.6766071373400837,,-0.826391,41.71,20,0
400P3C,clust,ils,13,3,0.832058876344242,,-0.828686,32.46,20,0
400P3C,clust,ils,14,4,0.7382793407343357,,-0.824159,5.14,20,0
400P3C,clust,ils,15,3,0.8256826687153502,,-0.821186,36.43,20,0
400P3C,clust,ils,16,3,0.8263762228176575,,-0.824754,52.61,20,0
400P3C,clust,ils,17,3,0.8326481091483907,,-0.826749,46.32,20,0
400P3C,clust,ils,18,4,0.7490192222327778,,-0.820783,55.71,20,0
400P3C,clust,ils,19,3,0.8510535779576741,,-0.838367,60.96,20,0
