dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
400P3C,clust,vns,0,4,0.7628618933791748,,-0.822195,51.54,20,0
400P3C,clust,vns,1,4,0.7373434070215095,,-0.824423,60.91,20,0
400P3C,clust,vns,2,3,0.8297398645023617,,-0.826504,59.76,20,0
400P3C,clust,vns,3,4,0.6731502755668013,,-0.822352,58.1,20,0
400P3C,clust,vns,4,3,0.8274922383725839,,-0.823674,62.68,20,0
400P3C,clust,vns,5,3,0.8322341766080567,,-0.825749,17.11,20,0
400P3C,clust,vns,6,3,0.8321873530218792,,-0.828704,35.78,20,0
400P3C,clust,vns,7,4,0.7525934638062531,,-0.826092,60.52,20,0
400P3C,clust,vns,8,4,0.7541605863260181,,-0.827217,34.44,20,0
400P3C,clust,vns,9,3,0.8286804407516404,,-0.822683,58.01,20,0
400P3C,clust,vns,10,3,0.8237587998739274,,-0.820194,52.21,20,0
400P3C,clust,vns,11,3,0.8302961674884821,,-0.82591,60.77,20,0
400P3C,clust,vns,12,3,0.829059687352947,,-0.823509,57.63,20,0
400P3C,clust,vns,13,3,0.827022496836425,,-0.825007,53.55,20,0
400P3C,clust,vns,14,4,0.6494563046722607,,-0.824776,18.74,20,0
400P3C,clust,vns,15,4,0.7588408455981754,,-0.818122,56.05,20,0
400P3C,clust,vns,16,4,0.75111898641004,,-0.823577,60.6,20,0
400P3C,clust,vns,17,3,0.8268180458482041,,-0.822205,55.91,20,0
400P3C,clust,vns,18,4,0.7377702330045934,,-0.821059,36.92,20,0
400P3C,clust,vns,19,3,0.8224593745730562,,-0.817054,42.6,20,0
