dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
A1,clust,brkga,0,11,0.33433725740209425,,-0.33248,60.6,20,0
A1,clust,brkga,1,15,0.2695928124000774,,-0.350696,50.73,20,0
A1,clust,brkga,2,13,0.32283022633281544,,-0.333614,31.09,20,0
A1,clust,brkga,3,13,0.3171045663014245,,-0.305879,51.86,20,0
A1,clust,brkga,4,22,0.3286172002866699,,-0.325908,31.48,20,0
A1,clust,brkga,5,4,0.37731789542140076,,-0.378279,2.62,20,0
A1,clust,brkga,6,8,0.2928016691830255,,-0.282639,57.68,20,0
A1,clust,brkga,7,12,0.3089100055393747,,-0.31559,25.99,20,0
A1,clust,brkga,8,2,0.27238635713649073,,-0.301664,29.53,20,0
A1,clust,brkga,9,4,0.347354948098574,,-0.329804,7.79,20,0
A1,clust,brkga,10,4,0.35130048039498674,,-0.356345,36.49,20,0
A1,clust,brkga,11,11,0.35797676582384835,,-0.33827,18.35,20,0
A1,clust,brkga,12,10,0.32973497585457895,,-0.316173,52.64,20,0
A1,clust,brkga,13,13,0.35003803159734725,,-0.351397,34.36,20,0
A1,clust,brkga,14,27,0.3236234996935767,,-0.32799,30.94,20,0
A1,clust,brkga,15,4,0.4009667496754011,,-0.404404,1.09,20,0
A1,clust,brkga,16,11,0.3246362432088861,,-0.319748,31.82,20,0
A1,clust,brkga,17,18,0.31149161042557677,,-0.312632,30.97,20,0
A1,clust,brkga,18,3,0.3967104866578157,,-0.377072,26.65,20,0
A1,clust,brkga,19,2,0.29090795194622093,,-0.318581,30.84,20,0
