dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
A1,clust,ils,0,12,0.40512422589622965,,-0.410243,60.36,20,0
A1,clust,ils,1,14,0.3789919234714084,,-0.375622,60.5,20,0
A1,clust,ils,2,21,0.3430518331262879,,-0.324354,56.7,20,0
A1,clust,ils,3,18,0.4180379950916844,,-0.421134,53.71,20,0
A1,clust,ils,4,18,0.3499273530302195,,-0.346718,60.1,20,0
A1,clust,ils,5,4,0.37731789542140076,,-0.378279,2.59,20,0
A1,clust,ils,6,10,0.3722939247076718,,-0.397116,60.94,20,0
A1,clust,ils,7,21,0.3713609943863429,,-0.365611,43.68,20,0
A1,clust,ils,8,13,0.38219676454954565,,-0.395724,42.14,20,0
A1,clust,ils,9,6,0.4273676028468592,,-0.432396,58.78,20,0
A1,clust,ils,10,6,0.4249640908280139,,-0.429285,64.26,20,0
A1,clust,ils,11,17,0.32058262460165304,,-0.310394,57.52,20,0
A1,clust,ils,12,14,0.40521114584388634,,-0.40471,65.27,20,0
A1,clust,ils,13,13,0.39773626914987276,,-0.382311,60.33,20,0
A1,clust,ils,14,10,0.41660766181122866,,-0.419227,62.28,20,0
A1,clust,ils,15,4,0.4009667496754011,,-0.404404,1.06,20,0
A1,clust,ils,16,14,0.41236072350152597,,-0.405685,64.95,20,0
A1,clust,ils,17,11,0.3756412220607451,,-0.378426,56.29,20,0
A1,clust,ils,18,6,0.40083544195803855,,-0.405606,50.35,20,0
A1,clust,ils,19,14,0.3302586144188958,,-0.342841,61.46,20,0
