dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
A1,clust,vns,0,20,0.40212750536594627,,-0.410708,59.47,20,0
A1,clust,vns,1,14,0.3968268130299715,,-0.43143,65.09,20,0
A1,clust,vns,2,25,0.3890982751439519,,-0.392666,43.14,20,0
A1,clust,vns,3,22,0.3052721221407278,,-0.328698,39.86,20,0
A1,clust,vns,4,11,0.43735511461977217,,-0.440506,60.79,20,0
A1,clust,vns,5,23,0.4186852491548964,,-0.411049,58.42,20,0
A1,clust,vns,6,14,0.4096112646141422,,-0.406451,55.43,20,0
A1,clust,vns,7,16,0.34445511183783917,,-0.3504,60.64,20,0
A1,clust,vns,8,8,0.34175328057215076,,-0.33544,61.9,20,0
A1,clust,vns,9,22,0.35384047619685166,,-0.364582,55.4,20,0
A1,clust,vns,10,9,0.40346176713872745,,-0.391061,62.38,20,0
A1,clust,vns,11,17,0.33762330533412854,,-0.342071,61.48,20,0
A1,clust,vns,12,5,0.40803986598992636,,-0.421509,47.39,20,0
A1,clust,vns,13,22,0.37737036712760147,,-0.386645,53.98,20,0
A1,clust,vns,14,7,0.38833265542549006,,-0.381742,63.43,20,0
A1,clust,vns,15,5,0.40525775410667547,,-0.416459,64.93,20,0
A1,clust,vns,16,8,0.44626719799263476,,-0.441851,66.03,20,0
A1,clust,vns,17,16,0.38395995217043244,,-0.397928,58.02,20,0
A1,clust,vns,18,24,0.3442177258496444,,-0.339451,65.62,20,0
A1,clust,vns,19,25,0.40446375037611615,,-0.404876,64.52,20,0
