dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
AGGREGATION,classf,brkga,0,7,0.3172,0.7464,,,20,
AGGREGATION,classf,brkga,1,4,0.4071,0.6061,,,20,
AGGREGATION,classf,brkga,2,5,0.3906,0.6798,,,20,
AGGREGATION,classf,brkga,3,3,0.4094,0.4677,,,20,
AGGREGATION,classf,brkga,4,7,0.342,0.7664,,,20,
AGGREGATION,classf,brkga,5,4,0.4837,0.6643,,,20,
AGGREGATION,classf,brkga,6,3,0.4493,0.4603,,,20,
AGGREGATION,classf,brkga,7,8,0.2899,0.6933,,,20,
AGGREGATION,classf,brkga,8,3,0.456,0.5055,,,20,
AGGREGATION,classf,brkga,9,3,0.4857,0.5818,,,20,
AGGREGATION,classf,brkga,10,5,0.4365,0.7076,,,20,
AGGREGATION,classf,brkga,11,3,0.4596,0.4894,,,20,
AGGREGATION,classf,brkga,12,7,0.4289,0.7968,,,20,
AGGREGATION,classf,brkga,13,4,0.4428,0.6101,,,20,
AGGREGATION,classf,brkga,14,4,0.46,0.6956,,,20,
AGGREGATION,classf,brkga,15,3,0.4378,0.4612,,,20,
AGGREGATION,classf,brkga,16,7,0.3361,0.6829,,,20,
AGGREGATION,classf,brkga,17,4,0.4562,0.6398,,,20,
AGGREGATION,classf,brkga,18,3,0.4213,0.451,,,20,
AGGREGATION,classf,brkga,19,4,0.45097139005035364,0.6851249110199867,-0.451115,20.66,20,0.0
