dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
AGGREGATION,classf,ils,0,6,0.3323523088250857,0.736993270968707,-0.491777,60.84,20,0
AGGREGATION,classf,ils,1,6,0.4744311465513696,0.8006156223704533,-0.473296,63.15,20,0
AGGREGATION,classf,ils,2,5,0.43447953692250957,0.6593271324642184,-0.435685,63.33,20,0
AGGREGATION,classf,ils,3,6,0.3088835420334774,0.727537735211654,-0.420252,56.36,20,0
AGGREGATION,classf,ils,4,6,0.406056436172308,0.7730946496328914,-0.453777,42.8,20,0
AGGREGATION,classf,ils,5,8,0.40793456739289524,0.7237956139198126,-0.428503,47.9,20,0
AGGREGATION,classf,ils,6,5,0.40674075883997324,0.7088236812190505,-0.47835,60.06,20,0
AGGREGATION,classf,ils,7,5,0.4594925922124389,0.7000345816485626,-0.459681,56.24,20,0
AGGREGATION,classf,ils,8,4,0.39590871684283074,0.5599248971775248,-0.496509,49.02,20,0
AGGREGATION,classf,ils,9,5,0.4371305143320219,0.7397662726726453,-0.438435,35.74,20,0
AGGREGATION,classf,ils,10,5,0.4232255134921089,0.7839913257794304,-0.520192,58.82,20,0
AGGREGATION,classf,ils,11,4,0.5067938035953417,0.7024907550422647,-0.506769,59.88,20,0
AGGREGATION,classf,ils,12,4,0.3943805218075176,0.5452122452726159,-0.49014,26.31,20,0
AGGREGATION,classf,ils,13,5,0.3779640335717536,0.7200666320026543,-0.495169,62.86,20,0
AGGREGATION,classf,ils,14,7,0.4825036266780398,0.9600547648068405,-0.482154,52.7,20,0
AGGREGATION,classf,ils,15,5,0.4553823610747842,0.7521128877155016,-0.456031,47.71,20,0
AGGREGATION,classf,ils,16,7,0.2897962164057676,0.5710488878890086,-0.383948,54.85,20,0
AGGREGATION,classf,ils,17,8,0.37282758982593867,0.7381380007562025,-0.44788,62.49,20,0
AGGREGATION,classf,ils,18,8,0.408247451101707,0.6557947917598499,-0.437889,25.54,20,0
AGGREGATION,classf,ils,19,4,0.38547873862303705,0.5571296144727336,-0.496464,45.88,20,0
