dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
AGGREGATION,classf,vns,0,6,0.4262,0.673,,,20,
AGGREGATION,classf,vns,1,4,0.4818,0.7225,,,20,
AGGREGATION,classf,vns,2,7,0.4728,0.9871,,,20,
AGGREGATION,classf,vns,3,4,0.4072,0.5545,,,20,
AGGREGATION,classf,vns,4,9,0.3732,0.5981,,,20,
AGGREGATION,classf,vns,5,5,0.4207,0.7045,,,20,
AGGREGATION,classf,vns,6,6,0.4056,0.6313,,,20,
AGGREGATION,classf,vns,7,4,0.4043,0.5901,,,20,
AGGREGATION,classf,vns,8,4,0.3628,0.5144,,,20,
AGGREGATION,classf,vns,9,9,0.4114,0.7515,,,20,
AGGREGATION,classf,vns,10,4,0.4837,0.668,,,20,
AGGREGATION,classf,vns,11,3,0.4803,0.5704,,,20,
AGGREGATION,classf,vns,12,7,0.3523,0.6037,,,20,
AGGREGATION,classf,vns,13,6,0.4047,0.5854,,,20,
AGGREGATION,classf,vns,14,8,0.4296,0.898,,,20,
AGGREGATION,classf,vns,15,9,0.382,0.5992,,,20,
AGGREGATION,classf,vns,16,5,0.4541,0.7492,,,20,
AGGREGATION,classf,vns,17,9,0.3969,0.5729,,,20,
AGGREGATION,classf,vns,18,7,0.4099,0.6193,,,20,
AGGREGATION,classf,vns,19,6,0.3843798016568774,0.7135665133452086,-0.476306,48.1,20,0.0
