dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
BANKNOTE,clust,brkga,0,3,0.35641289020075556,,-0.36889,31.62,20,0
BANKNOTE,clust,brkga,1,3,0.33857767495426344,,-0.359264,42.87,20,0
BANKNOTE,clust,brkga,2,3,0.33768532028046905,,-0.355459,61.79,20,0
BANKNOTE,clust,brkga,3,2,0.4153739387410959,,-0.431683,58.53,20,0
BANKNOTE,clust,brkga,4,3,0.3347996860746823,,-0.332141,31.99,20,0
BANKNOTE,clust,brkga,5,3,0.3359968564718965,,-0.338727,49.11,20,0
BANKNOTE,clust,brkga,6,2,0.3582099706232967,,-0.330541,31.94,20,0
BANKNOTE,clust,brkga,7,4,0.3268012678385026,,-0.37019,12.31,20,0
BANKNOTE,clust,brkga,8,3,0.339881038627183,,-0.358979,35.58,20,0
BANKNOTE,clust,brkga,9,3,0.34791154017876064,,-0.368228,51.62,20,0
BANKNOTE,clust,brkga,10,3,0.3512043111562614,,-0.36968,7.0,20,0
BANKNOTE,clust,brkga,11,3,0.3607171430121968,,-0.374056,29.13,20,0
BANKNOTE,clust,brkga,12,13,0.2909611320745388,,-0.294047,60.74,20,0
BANKNOTE,clust,brkga,13,4,0.2569867491281516,,-0.277378,56.17,20,0
BANKNOTE,clust,brkga,14,3,0.35003028311694806,,-0.356402,1.0,20,0
BANKNOTE,clust,brkga,15,3,0.3397451489126287,,-0.33688,15.32,20,0
BANKNOTE,clust,brkga,16,2,0.40898242032294024,,-0.39163,37.17,20,0
BANKNOTE,clust,brkga,17,5,0.3238086121681327,,-0.306368,26.2,20,0
BANKNOTE,clust,brkga,18,2,0.417632138499544,,-0.437178,10.4,20,0
BANKNOTE,clust,brkga,19,6,0.2981334282537847,,-0.308672,45.12,20,0
