dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
BANKNOTE,clust,ils,0,6,0.33220580569352726,,-0.329199,47.05,20,0
BANKNOTE,clust,ils,1,10,0.3037635068331615,,-0.298044,57.73,20,0
BANKNOTE,clust,ils,2,11,0.2969288189959758,,-0.298361,59.92,20,0
BANKNOTE,clust,ils,3,7,0.3327840739182714,,-0.334232,62.71,20,0
BANKNOTE,clust,ils,4,11,0.3132685221784648,,-0.306609,57.37,20,0
BANKNOTE,clust,ils,5,17,0.33987622354569946,,-0.332365,46.1,20,0
BANKNOTE,clust,ils,6,2,0.4632524750774615,,-0.451651,17.1,20,0
BANKNOTE,clust,ils,7,6,0.3068167954417249,,-0.322328,49.02,20,0
BANKNOTE,clust,ils,8,15,0.3377358162554516,,-0.335449,37.51,20,0
BANKNOTE,clust,ils,9,11,0.23541754212677868,,-0.311992,61.88,20,0
BANKNOTE,clust,ils,10,4,0.3081495231649042,,-0.311932,38.19,20,0
BANKNOTE,clust,ils,11,6,0.32855804891106677,,-0.336474,58.35,20,0
BANKNOTE,clust,ils,12,7,0.33112215268391176,,-0.331535,48.77,20,0
BANKNOTE,clust,ils,13,7,0.3327028455640377,,-0.339346,50.52,20,0
BANKNOTE,clust,ils,14,3,0.35003028311694806,,-0.356402,1.0,20,0
BANKNOTE,clust,ils,15,14,0.3592989421426831,,-0.363919,54.02,20,0
BANKNOTE,clust,ils,16,2,0.40080548095784746,,-0.381492,56.52,20,0
BANKNOTE,clust,ils,17,8,0.3257987919442502,,-0.326811,61.35,20,0
BANKNOTE,clust,ils,18,11,0.2934185941421799,,-0.305872,43.28,20,0
BANKNOTE,clust,ils,19,4,0.21096300545863064,,-0.374775,51.2,20,0
