dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
BANKNOTE,clust,vns,0,3,0.3568383479477992,,-0.373951,60.33,20,0
BANKNOTE,clust,vns,1,12,0.2960580868684351,,-0.347471,52.22,20,0
BANKNOTE,clust,vns,2,11,0.33785707596964115,,-0.335687,56.94,20,0
BANKNOTE,clust,vns,3,11,0.2836179981909928,,-0.308204,39.44,20,0
BANKNOTE,clust,vns,4,3,0.3127715405886972,,-0.417655,53.79,20,0
BANKNOTE,clust,vns,5,9,0.2862818525981698,,-0.276369,54.4,20,0
BANKNOTE,clust,vns,6,12,0.3138166840028963,,-0.332016,53.93,20,0
BANKNOTE,clust,vns,7,7,0.3209327156690846,,-0.346071,40.43,20,0
BANKNOTE,clust,vns,8,2,0.46938281768685125,,-0.457894,62.98,20,0
BANKNOTE,clust,vns,9,3,0.34780212665545135,,-0.365778,57.84,20,0
BANKNOTE,clust,vns,10,13,0.328129839245163,,-0.339402,62.2,20,0
BANKNOTE,clust,vns,11,2,0.4393633663371042,,-0.462777,17.08,20,0
BANKNOTE,clust,vns,12,2,0.42715827491283637,,-0.452461,26.46,20,0
BANKNOTE,clust,vns,13,4,0.2953328481119341,,-0.370215,53.09,20,0
BANKNOTE,clust,vns,14,3,0.35003028311694806,,-0.356402,1.09,20,0
BANKNOTE,clust,vns,15,7,0.33585125768069995,,-0.342577,51.56,20,0
BANKNOTE,clust,vns,16,2,0.44590115779419237,,-0.476216,54.89,20,0
BANKNOTE,clust,vns,17,11,0.3468954547255173,,-0.345819,56.68,20,0
BANKNOTE,clust,vns,18,10,0.3172193978242202,,-0.327063,53.56,20,0
BANKNOTE,clust,vns,19,6,0.3237337941721029,,-0.337444,63.24,20,0
