dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
BREASTB,clust,brkga,0,1,,,-0.730403,19.73,20,0
BREASTB,clust,brkga,1,1,,,-0.752269,56.75,20,0
BREASTB,clust,brkga,2,2,0.7285012149483706,,-0.726214,8.71,20,0
BREASTB,clust,brkga,3,1,,,-0.752975,11.08,20,0
BREASTB,clust,brkga,4,1,,,-0.752975,40.89,20,0
BREASTB,clust,brkga,5,1,,,-0.744871,19.08,20,0
BREASTB,clust,brkga,6,1,,,-0.752975,28.17,20,0
BREASTB,clust,brkga,7,2,0.751480133127672,,-0.752269,51.74,20,0
BREASTB,clust,brkga,8,1,,,-0.737111,17.42,20,0
BREASTB,clust,brkga,9,1,,,-0.752975,32.78,20,0
BREASTB,clust,brkga,10,1,,,-0.752975,29.23,20,0
BREASTB,clust,brkga,11,1,,,-0.700594,16.41,20,0
BREASTB,clust,brkga,12,1,,,-0.752975,11.74,20,0
BREASTB,clust,brkga,13,1,,,-0.737437,7.28,20,0
BREASTB,clust,brkga,14,2,0.729456781661112,,-0.729454,13.79,20,0
BREASTB,clust,brkga,15,1,,,-0.722431,5.83,20,0
BREASTB,clust,brkga,16,1,,,-0.731323,15.18,20,0
BREASTB,clust,brkga,17,2,0.729456781661112,,-0.729454,13.9,20,0
BREASTB,clust,brkga,18,1,,,-0.737437,13.7,20,0
BREASTB,clust,brkga,19,1,,,-0.737437,32.36,20,0
