dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
BREASTB,clust,ils,0,2,0.7523556840402935,,-0.752975,26.37,20,0
BREASTB,clust,ils,1,2,0.7285012149483706,,-0.726214,35.01,20,0
BREASTB,clust,ils,2,2,0.7523556840402935,,-0.752975,43.76,20,0
BREASTB,clust,ils,3,2,0.7342731893373652,,-0.731323,60.07,20,0
BREASTB,clust,ils,4,1,,,-0.752975,3.85,20,0
BREASTB,clust,ils,5,1,,,-0.752975,55.58,20,0
BREASTB,clust,ils,6,2,0.7369606734934631,,-0.737437,4.48,20,0
BREASTB,clust,ils,7,1,,,-0.752975,15.57,20,0
BREASTB,clust,ils,8,1,,,-0.729038,27.91,20,0
BREASTB,clust,ils,9,2,0.7417816044513871,,-0.739745,49.01,20,0
BREASTB,clust,ils,10,1,,,-0.737437,25.34,20,0
BREASTB,clust,ils,11,1,,,-0.737437,58.73,20,0
BREASTB,clust,ils,12,1,,,-0.737725,37.36,20,0
BREASTB,clust,ils,13,1,,,-0.731323,43.65,20,0
BREASTB,clust,ils,14,2,0.7382573835904362,,-0.737725,34.31,20,0
BREASTB,clust,ils,15,1,,,-0.744871,29.71,20,0
BREASTB,clust,ils,16,1,,,-0.737437,50.61,20,0
BREASTB,clust,ils,17,2,0.7396178389169096,,-0.74049,55.97,20,0
BREASTB,clust,ils,18,2,0.7285012149483706,,-0.726214,39.39,20,0
BREASTB,clust,ils,19,1,,,-0.744871,16.16,20,0
