dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
BREASTB,clust,vns,0,1,,,-0.742648,57.58,20,0
BREASTB,clust,vns,1,1,,,-0.752975,13.58,20,0
BREASTB,clust,vns,2,1,,,-0.73772,20.61,20,0
BREASTB,clust,vns,3,1,,,-0.74333,21.79,20,0
BREASTB,clust,vns,4,2,0.7285012149483706,,-0.726214,9.87,20,0
BREASTB,clust,vns,5,1,,,-0.737437,3.23,20,0
BREASTB,clust,vns,6,2,0.7135249893353874,,-0.713183,22.11,20,0
BREASTB,clust,vns,7,1,,,-0.752975,60.69,20,0
BREASTB,clust,vns,8,1,,,-0.737437,7.43,20,0
BREASTB,clust,vns,9,1,,,-0.737437,45.01,20,0
BREASTB,clust,vns,10,1,,,-0.752975,57.62,20,0
BREASTB,clust,vns,11,1,,,-0.737725,32.14,20,0
BREASTB,clust,vns,12,1,,,-0.737111,33.25,20,0
BREASTB,clust,vns,13,1,,,-0.742648,48.55,20,0
BREASTB,clust,vns,14,1,,,-0.737111,23.56,20,0
BREASTB,clust,vns,15,1,,,-0.739131,55.65,20,0
BREASTB,clust,vns,16,1,,,-0.752975,30.74,20,0
BREASTB,clust,vns,17,2,0.7285012149483706,,-0.726214,2.79,20,0
BREASTB,clust,vns,18,1,,,-0.744871,56.94,20,0
BREASTB,clust,vns,19,2,0.7342731893373652,,-0.731323,6.77,20,0
