dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
BROKEN-RING,clust,brkga,0,4,0.4305501175131241,,-0.43103,30.98,20,0
BROKEN-RING,clust,brkga,1,4,0.4087833160985017,,-0.409314,31.29,20,0
BROKEN-RING,clust,brkga,2,8,0.31503155388638193,,-0.412562,55.71,20,0
BROKEN-RING,clust,brkga,3,12,0.4365864992221257,,-0.445321,61.18,20,0
BROKEN-RING,clust,brkga,4,6,0.384307348038708,,-0.479161,11.42,20,0
BROKEN-RING,clust,brkga,5,12,0.34314411449908,,-0.417101,24.33,20,0
BROKEN-RING,clust,brkga,6,6,0.29350385314519184,,-0.403422,16.97,20,0
BROKEN-RING,clust,brkga,7,13,0.41224822979392617,,-0.444929,31.27,20,0
BROKEN-RING,clust,brkga,8,8,0.3689989200642005,,-0.421243,62.59,20,0
BROKEN-RING,clust,brkga,9,5,0.44085181614471985,,-0.440736,7.9,20,0
BROKEN-RING,clust,brkga,10,6,0.43811128036609204,,-0.437991,28.68,20,0
BROKEN-RING,clust,brkga,11,6,0.4385911565900226,,-0.43862,6.45,20,0
BROKEN-RING,clust,brkga,12,6,0.4470004669480295,,-0.447086,23.48,20,0
BROKEN-RING,clust,brkga,13,8,0.4341869035116607,,-0.435424,24.09,20,0
BROKEN-RING,clust,brkga,14,5,0.47732975940961675,,-0.477378,30.23,20,0
BROKEN-RING,clust,brkga,15,12,0.4702679013729597,,-0.452272,32.67,20,0
BROKEN-RING,clust,brkga,16,8,0.428506822635965,,-0.42963,30.33,20,0
BROKEN-RING,clust,brkga,17,5,0.466265564131779,,-0.466265,62.67,20,0
BROKEN-RING,clust,brkga,18,10,0.43623355719292767,,-0.46151,61.84,20,0
BROKEN-RING,clust,brkga,19,4,0.39616759505288657,,-0.396835,34.4,20,0
