dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
BROKEN-RING,clust,ils,0,6,0.3786555027373992,,-0.505048,28.48,20,0
BROKEN-RING,clust,ils,1,7,0.44871624906167507,,-0.449627,59.92,20,0
BROKEN-RING,clust,ils,2,7,0.45407686422400495,,-0.455311,58.0,20,0
BROKEN-RING,clust,ils,3,11,0.49946331829573404,,-0.500285,28.65,20,0
BROKEN-RING,clust,ils,4,5,0.5052711871170454,,-0.505257,30.28,20,0
BROKEN-RING,clust,ils,5,5,0.5000663284796963,,-0.500047,49.12,20,0
BROKEN-RING,clust,ils,6,11,0.4562050867539735,,-0.466873,25.53,20,0
BROKEN-RING,clust,ils,7,9,0.44394575547443316,,-0.448565,59.58,20,0
BROKEN-RING,clust,ils,8,4,0.4296038512149395,,-0.427347,38.72,20,0
BROKEN-RING,clust,ils,9,6,0.46327385611407657,,-0.463344,61.46,20,0
BROKEN-RING,clust,ils,10,5,0.5107513494792387,,-0.510712,56.56,20,0
BROKEN-RING,clust,ils,11,5,0.5055362646106991,,-0.505518,61.47,20,0
BROKEN-RING,clust,ils,12,6,0.3293675963846855,,-0.414197,49.85,20,0
BROKEN-RING,clust,ils,13,5,0.47843012992076417,,-0.478237,62.21,20,0
BROKEN-RING,clust,ils,14,9,0.4344610695627438,,-0.448162,59.97,20,0
BROKEN-RING,clust,ils,15,7,0.4185730272465704,,-0.418196,56.09,20,0
BROKEN-RING,clust,ils,16,5,0.5070104939955057,,-0.50701,55.1,20,0
BROKEN-RING,clust,ils,17,5,0.5092031427526218,,-0.509194,51.29,20,0
BROKEN-RING,clust,ils,18,5,0.5103235519494039,,-0.510319,61.94,20,0
BROKEN-RING,clust,ils,19,10,0.4548722047000868,,-0.483091,46.05,20,0
