dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
BROKEN-RING,clust,vns,0,5,0.510882684733306,,-0.510489,60.36,20,0
BROKEN-RING,clust,vns,1,5,0.5089001348698348,,-0.508747,62.49,20,0
BROKEN-RING,clust,vns,2,10,0.37809096395853026,,-0.379799,1.47,20,0
BROKEN-RING,clust,vns,3,8,0.37002327660461737,,-0.463362,57.25,20,0
BROKEN-RING,clust,vns,4,5,0.5176622481921097,,-0.517499,54.81,20,0
BROKEN-RING,clust,vns,5,6,0.4675325441433596,,-0.467567,63.06,20,0
BROKEN-RING,clust,vns,6,4,0.4700419271985955,,-0.469462,56.61,20,0
BROKEN-RING,clust,vns,7,5,0.5207614929516764,,-0.520709,61.46,20,0
BROKEN-RING,clust,vns,8,6,0.40916117015701975,,-0.476098,59.29,20,0
BROKEN-RING,clust,vns,9,5,0.5122285379008299,,-0.512216,45.72,20,0
BROKEN-RING,clust,vns,10,10,0.4285134284161743,,-0.428837,61.56,20,0
BROKEN-RING,clust,vns,11,6,0.44862570682290903,,-0.448045,57.61,20,0
BROKEN-RING,clust,vns,12,7,0.35850958576746716,,-0.455432,62.63,20,0
BROKEN-RING,clust,vns,13,4,0.4229837669352269,,-0.421989,27.84,20,0
BROKEN-RING,clust,vns,14,7,0.390785595722802,,-0.390559,36.23,20,0
BROKEN-RING,clust,vns,15,5,0.5137399542032434,,-0.513552,53.64,20,0
BROKEN-RING,clust,vns,16,6,0.2968956374119094,,-0.399788,62.15,20,0
BROKEN-RING,clust,vns,17,6,0.40521474919980094,,-0.477229,59.49,20,0
BROKEN-RING,clust,vns,18,5,0.5113679016595928,,-0.511325,60.72,20,0
BROKEN-RING,clust,vns,19,8,0.44092859349208274,,-0.438932,57.96,20,0
