dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
BUPA,clust,ils,0,2,0.7058064348304957,,-0.708834,18.41,20,0
BUPA,clust,ils,1,2,0.7374387730810621,,-0.748238,29.2,20,0
BUPA,clust,ils,2,2,0.7221192226714088,,-0.72581,48.95,20,0
BUPA,clust,ils,3,2,0.7277839171466893,,-0.737516,22.61,20,0
BUPA,clust,ils,4,2,0.3967564238599,,-0.634446,29.03,20,0
BUPA,clust,ils,5,2,0.7096066345296528,,-0.71744,53.85,20,0
BUPA,clust,ils,6,2,0.6117671716344174,,-0.595773,46.44,20,0
BUPA,clust,ils,7,2,0.7196830250486446,,-0.72463,34.46,20,0
BUPA,clust,ils,8,2,0.7243166273192344,,-0.733934,47.17,20,0
BUPA,clust,ils,9,2,0.7108566013459824,,-0.711324,33.82,20,0
BUPA,clust,ils,10,2,0.7165439347881817,,-0.720228,54.51,20,0
BUPA,clust,ils,11,2,0.7414766087147571,,-0.750721,54.4,20,0
BUPA,clust,ils,12,2,0.7357241244857615,,-0.748715,45.61,20,0
BUPA,clust,ils,13,2,0.7128295197611662,,-0.717799,10.24,20,0
BUPA,clust,ils,14,2,0.7365393688291079,,-0.746412,26.44,20,0
BUPA,clust,ils,15,2,0.7272676130640879,,-0.732736,44.2,20,0
BUPA,clust,ils,16,2,0.7123709495786068,,-0.713388,50.8,20,0
BUPA,clust,ils,17,2,0.7480759273271923,,-0.760952,49.27,20,0
BUPA,clust,ils,18,2,0.7108566013459824,,-0.711324,55.97,20,0
BUPA,clust,ils,19,2,0.7284080402453016,,-0.728691,61.45,20,0
