dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
BUPA,clust,vns,0,2,0.7238587012142077,,-0.726177,60.1,20,0
BUPA,clust,vns,1,2,0.7196830250486446,,-0.72463,39.33,20,0
BUPA,clust,vns,2,2,0.7402007454290164,,-0.752134,28.01,20,0
BUPA,clust,vns,3,2,0.6947897662769801,,-0.690888,25.59,20,0
BUPA,clust,vns,4,2,0.7202831033230788,,-0.726877,56.4,20,0
BUPA,clust,vns,5,2,0.7276701767975625,,-0.736497,29.92,20,0
BUPA,clust,vns,6,2,0.7273602831751736,,-0.735366,42.91,20,0
BUPA,clust,vns,7,2,0.7124783862981251,,-0.711734,55.83,20,0
BUPA,clust,vns,8,2,0.7425544106524093,,-0.756251,33.25,20,0
BUPA,clust,vns,9,2,0.7487182450236002,,-0.757952,53.91,20,0
BUPA,clust,vns,10,2,0.600261482211397,,-0.567733,57.3,20,0
BUPA,clust,vns,11,2,0.7206086917602759,,-0.722116,51.01,20,0
BUPA,clust,vns,12,2,0.7093826002306869,,-0.707769,60.93,20,0
BUPA,clust,vns,13,2,0.7008764496632932,,-0.699868,8.88,20,0
BUPA,clust,vns,14,2,0.7157837359437812,,-0.717246,57.77,20,0
BUPA,clust,vns,15,2,0.6803994983500565,,-0.674895,15.45,20,0
BUPA,clust,vns,16,2,0.6971994020276672,,-0.696626,12.34,20,0
BUPA,clust,vns,17,2,0.6841785420192711,,-0.677073,52.33,20,0
BUPA,clust,vns,18,2,0.7327892130826374,,-0.739536,57.88,20,0
BUPA,clust,vns,19,2,0.7202831033230788,,-0.726877,36.68,20,0
