dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
CHART,clust,brkga,0,3,0.41052301572149114,,-0.41553,28.52,20,0
CHART,clust,brkga,1,3,0.4179778448797013,,-0.422675,18.38,20,0
CHART,clust,brkga,2,3,0.41695520436018996,,-0.424023,49.7,20,0
CHART,clust,brkga,3,3,0.4054006977386951,,-0.40134,31.38,20,0
CHART,clust,brkga,4,3,0.39968085003884346,,-0.407429,37.16,20,0
CHART,clust,brkga,5,2,0.3159845106053255,,-0.412517,12.59,20,0
CHART,clust,brkga,6,2,0.3128891126956817,,-0.400971,62.95,20,0
CHART,clust,brkga,7,3,0.36695461494990256,,-0.3994,26.52,20,0
CHART,clust,brkga,8,3,0.4090224222553337,,-0.414026,28.78,20,0
CHART,clust,brkga,9,3,0.3825287222069151,,-0.407407,36.49,20,0
CHART,clust,brkga,10,3,0.4149069787478998,,-0.402505,53.49,20,0
CHART,clust,brkga,11,5,0.3364292777478918,,-0.414341,28.94,20,0
CHART,clust,brkga,12,4,0.3450385226365821,,-0.419704,25.49,20,0
CHART,clust,brkga,13,5,0.31674718629756743,,-0.417484,46.52,20,0
CHART,clust,brkga,14,3,0.35259377698536953,,-0.384225,34.33,20,0
CHART,clust,brkga,15,3,0.426028846925818,,-0.413669,32.97,20,0
CHART,clust,brkga,16,4,0.3720038995457374,,-0.402784,24.35,20,0
CHART,clust,brkga,17,3,0.41238302564872437,,-0.422618,57.85,20,0
CHART,clust,brkga,18,3,0.39331614751641275,,-0.404144,59.52,20,0
CHART,clust,brkga,19,4,0.238710669700782,,-0.39657,31.95,20,0
