dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
CHART,clust,vns,0,3,0.425293625262881,,-0.418096,25.22,20,0
CHART,clust,vns,1,3,0.42171030555958333,,-0.42548,48.6,20,0
CHART,clust,vns,2,5,0.3007779959704806,,-0.36283,1.44,20,0
CHART,clust,vns,3,6,0.40572001413344,,-0.406753,45.43,20,0
CHART,clust,vns,4,6,0.37516952024186917,,-0.373965,46.95,20,0
CHART,clust,vns,5,3,0.44098153798446205,,-0.431689,60.26,20,0
CHART,clust,vns,6,2,0.4699426164337198,,-0.38668,27.74,20,0
CHART,clust,vns,7,5,0.24546449750331353,,-0.395405,56.63,20,0
CHART,clust,vns,8,3,0.3899529931339486,,-0.393007,60.74,20,0
CHART,clust,vns,9,6,0.3558187530230124,,-0.360112,51.53,20,0
CHART,clust,vns,10,5,0.3198787011075388,,-0.381263,31.83,20,0
CHART,clust,vns,11,4,0.26931949624602697,,-0.423083,47.49,20,0
CHART,clust,vns,12,4,0.36841961972245957,,-0.419454,59.67,20,0
CHART,clust,vns,13,3,0.4351962778606554,,-0.418157,44.63,20,0
CHART,clust,vns,14,5,0.3586496611726571,,-0.371452,53.13,20,0
CHART,clust,vns,15,4,0.3633192265864647,,-0.430588,40.69,20,0
CHART,clust,vns,16,4,0.2812167383287324,,-0.41957,62.82,20,0
CHART,clust,vns,17,4,0.3906580944223837,,-0.415457,59.81,20,0
CHART,clust,vns,18,3,0.41699123535191546,,-0.42243,39.94,20,0
CHART,clust,vns,19,4,0.36107273151448954,,-0.389715,56.42,20,0
