dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
COMPOUND,classf,brkga,0,3,0.6116756679610926,0.726532638115873,-0.602592,35.81,20,0
COMPOUND,classf,brkga,1,3,0.6188042836325358,0.7370883327534201,-0.610354,56.5,20,0
COMPOUND,classf,brkga,2,3,0.6051184140186703,0.7096583683311185,-0.591754,62.81,20,0
COMPOUND,classf,brkga,3,4,0.5852789074890544,0.7195335512452132,-0.596768,25.35,20,0
COMPOUND,classf,brkga,4,3,0.6131439813595793,0.7302193204347792,-0.60004,54.68,20,0
COMPOUND,classf,brkga,5,3,0.6201229925965225,0.7377244158946948,-0.609306,29.61,20,0
COMPOUND,classf,brkga,6,2,0.5338061093720974,0.5246078120824226,-0.612843,44.35,20,0
COMPOUND,classf,brkga,7,3,0.6291575907872395,0.7426786663107504,-0.618528,27.77,20,0
COMPOUND,classf,brkga,8,3,0.6086500295177474,0.6954345674055485,-0.598747,20.87,20,0
COMPOUND,classf,brkga,9,4,0.5168940895179257,0.7103692715939742,-0.608206,38.78,20,0
COMPOUND,classf,brkga,10,3,0.6199737477648178,0.7298824835990847,-0.608511,53.4,20,0
COMPOUND,classf,brkga,11,4,0.6024257440799387,0.7255791854412409,-0.612046,32.19,20,0
COMPOUND,classf,brkga,12,3,0.6277159576258707,0.7099359024123267,-0.614619,29.31,20,0
COMPOUND,classf,brkga,13,3,0.6052529089016383,0.7155257313264484,-0.597086,20.44,20,0
COMPOUND,classf,brkga,14,3,0.6087963789132286,0.7188962582597677,-0.58796,62.08,20,0
COMPOUND,classf,brkga,15,2,0.49373727982572696,0.49527301681500235,-0.598042,59.03,20,0
COMPOUND,classf,brkga,16,3,0.6040297509623992,0.6773688124083586,-0.597846,62.9,20,0
COMPOUND,classf,brkga,17,3,0.6150483489451715,0.729845539665238,-0.606794,55.07,20,0
COMPOUND,classf,brkga,18,4,0.5827094368583419,0.7556497359437978,-0.612878,51.83,20,0
COMPOUND,classf,brkga,19,3,0.6152268684171859,0.7306974129211345,-0.603544,63.2,20,0
