dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
COMPOUND,classf,vns,0,3,0.6623297560815542,0.7728803923397554,-0.647957,61.42,20,0
COMPOUND,classf,vns,1,3,0.6334691036399465,0.7522827063831691,-0.626792,50.2,20,0
COMPOUND,classf,vns,2,3,0.5487312787291517,0.7333330984228393,-0.614625,45.47,20,0
COMPOUND,classf,vns,3,3,0.618316693603432,0.7310373053788641,-0.6064,37.4,20,0
COMPOUND,classf,vns,4,5,0.5124802751104515,0.7719146525487489,-0.620371,33.33,20,0
COMPOUND,classf,vns,5,4,0.4161423236907907,0.6852869702352938,-0.618234,60.44,20,0
COMPOUND,classf,vns,6,4,0.46692142235104817,0.5452165213659649,-0.606083,58.49,20,0
COMPOUND,classf,vns,7,3,0.6313581114817481,0.7443544490923322,-0.621213,49.62,20,0
COMPOUND,classf,vns,8,2,0.5310569216319703,0.5240008488850304,-0.627012,15.78,20,0
COMPOUND,classf,vns,9,3,0.5473769109511499,0.7273087712203428,-0.530129,44.45,20,0
COMPOUND,classf,vns,10,4,0.5463322629377995,0.7189518352693314,-0.632261,24.62,20,0
COMPOUND,classf,vns,11,3,0.6375606194133066,0.733952796885094,-0.625732,62.68,20,0
COMPOUND,classf,vns,12,3,0.5926973696011727,0.7093504883208561,-0.584266,60.04,20,0
COMPOUND,classf,vns,13,4,0.5096850204068823,0.7563315259535319,-0.592,47.01,20,0
COMPOUND,classf,vns,14,2,0.5453304397760808,0.551087727830555,-0.639035,40.76,20,0
COMPOUND,classf,vns,15,3,0.451156056762063,0.6418738232895703,-0.627691,55.4,20,0
COMPOUND,classf,vns,16,3,0.6413240443981814,0.750694936076976,-0.632317,61.66,20,0
COMPOUND,classf,vns,17,3,0.6306566444409423,0.7307437061723709,-0.616585,46.44,20,0
COMPOUND,classf,vns,18,2,0.5427750469632977,0.5490810142425449,-0.646489,46.38,20,0
COMPOUND,classf,vns,19,3,0.6313000304956252,0.7272828802646549,-0.62001,39.8,20,0
