dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
CONCRETEDATA,clust,brkga,0,5,0.3443,,,,20,
CONCRETEDATA,clust,brkga,1,4,0.3529,,,,20,
CONCRETEDATA,clust,brkga,2,2,0.3897,,,,20,
CONCRETEDATA,clust,brkga,3,3,0.3282,,,,20,
CONCRETEDATA,clust,brkga,4,3,0.3799,,,,20,
CONCRETEDATA,clust,brkga,5,2,0.3493,,,,20,
CONCRETEDATA,clust,brkga,6,2,0.4162,,,,20,
CONCRETEDATA,clust,brkga,7,6,0.3232,,,,20,
CONCRETEDATA,clust,brkga,8,2,0.4717,,,,20,
CONCRETEDATA,clust,brkga,9,3,0.3836,,,,20,
CONCRETEDATA,clust,brkga,10,4,0.3646,,,,20,
CONCRETEDATA,clust,brkga,11,6,0.3378,,,,20,
CONCRETEDATA,clust,brkga,12,3,0.3911,,,,20,
CONCRETEDATA,clust,brkga,13,3,0.3844,,,,20,
CONCRETEDATA,clust,brkga,14,4,0.3602,,,,20,
CONCRETEDATA,clust,brkga,15,3,0.3819,,,,20,
CONCRETEDATA,clust,brkga,16,2,0.4306,,,,20,
CONCRETEDATA,clust,brkga,17,2,0.4351,,,,20,
CONCRETEDATA,clust,brkga,18,3,0.3839624494181185,,-0.366575,23.54,20,0.0
CONCRETEDATA,clust,brkga,19,2,0.3688409065661198,,-0.385,38.95,20,0.0
