dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
CONCRETEDATA,clust,ils,0,4,0.3561,,,,20,
CONCRETEDATA,clust,ils,1,6,0.3389,,,,20,
CONCRETEDATA,clust,ils,2,5,0.3572,,,,20,
CONCRETEDATA,clust,ils,3,4,0.3502,,,,20,
CONCRETEDATA,clust,ils,4,3,0.3366,,,,20,
CONCRETEDATA,clust,ils,5,8,0.3626,,,,20,
CONCRETEDATA,clust,ils,6,3,0.3711,,,,20,
CONCRETEDATA,clust,ils,7,5,0.3324,,,,20,
CONCRETEDATA,clust,ils,8,2,0.4798,,,,20,
CONCRETEDATA,clust,ils,9,9,0.3292,,,,20,
CONCRETEDATA,clust,ils,10,2,0.4255,,,,20,
CONCRETEDATA,clust,ils,11,3,0.3281,,,,20,
CONCRETEDATA,clust,ils,12,3,0.3476,,,,20,
CONCRETEDATA,clust,ils,13,3,0.4101,,,,20,
CONCRETEDATA,clust,ils,14,2,0.465,,,,20,
CONCRETEDATA,clust,ils,15,3,0.3249,,,,20,
CONCRETEDATA,clust,ils,16,3,0.415,,,,20,
CONCRETEDATA,clust,ils,17,6,0.3067,,,,20,
CONCRETEDATA,clust,ils,18,3,0.3412986032837003,,-0.454774,53.13,20,0.0
CONCRETEDATA,clust,ils,19,3,0.40669226405279624,,-0.386301,52.14,20,0.0
