dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
CONCRETEDATA,clust,vns,0,2,0.4897,,,,20,
CONCRETEDATA,clust,vns,1,2,0.3797,,,,20,
CONCRETEDATA,clust,vns,2,7,0.3361,,,,20,
CONCRETEDATA,clust,vns,3,5,0.3564,,,,20,
CONCRETEDATA,clust,vns,4,2,0.465,,,,20,
CONCRETEDATA,clust,vns,5,5,0.3372,,,,20,
CONCRETEDATA,clust,vns,6,4,0.3005,,,,20,
CONCRETEDATA,clust,vns,7,5,0.3582,,,,20,
CONCRETEDATA,clust,vns,8,2,0.3007,,,,20,
CONCRETEDATA,clust,vns,9,10,0.2678,,,,20,
CONCRETEDATA,clust,vns,10,3,0.4073,,,,20,
CONCRETEDATA,clust,vns,11,2,0.4786,,,,20,
CONCRETEDATA,clust,vns,12,5,0.3413,,,,20,
CONCRETEDATA,clust,vns,13,3,0.3994,,,,20,
CONCRETEDATA,clust,vns,14,3,0.3482,,,,20,
CONCRETEDATA,clust,vns,15,3,0.4198,,,,20,
CONCRETEDATA,clust,vns,16,2,0.4826,,,,20,
CONCRETEDATA,clust,vns,17,3,0.4072,,,,20,
CONCRETEDATA,clust,vns,18,5,0.2344980147118153,,-0.344818,62.6,20,0.0
CONCRETEDATA,clust,vns,19,3,0.41277225330820033,,-0.391955,50.93,20,0.0
