dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
DBLCA,clust,brkga,0,3,0.5270171392190653,,-0.518653,58.16,20,0
DBLCA,clust,brkga,1,2,0.38871733544866205,,-0.50647,57.17,20,0
DBLCA,clust,brkga,2,1,,,-0.510081,59.73,20,0
DBLCA,clust,brkga,3,3,0.4858341290144305,,-0.485906,56.17,20,0
DBLCA,clust,brkga,4,3,0.5178437708696736,,-0.511197,52.63,20,0
DBLCA,clust,brkga,5,3,0.5177968191242669,,-0.512449,28.73,20,0
DBLCA,clust,brkga,6,3,0.515643892306193,,-0.514409,59.84,20,0
DBLCA,clust,brkga,7,2,0.38815620870418016,,-0.513525,29.6,20,0
DBLCA,clust,brkga,8,2,0.40044064558228554,,-0.529043,50.93,20,0
DBLCA,clust,brkga,9,3,0.5048782480109204,,-0.499649,59.13,20,0
DBLCA,clust,brkga,10,3,0.5320924594388401,,-0.524973,58.1,20,0
DBLCA,clust,brkga,11,2,0.3905846864859054,,-0.518914,58.6,20,0
DBLCA,clust,brkga,12,3,0.5241597650872545,,-0.520115,32.48,20,0
DBLCA,clust,brkga,13,3,0.38556866133034795,,-0.520086,31.29,20,0
DBLCA,clust,brkga,14,3,0.5102408555982789,,-0.507994,30.86,20,0
DBLCA,clust,brkga,15,2,0.3896320342894051,,-0.522294,48.96,20,0
DBLCA,clust,brkga,16,3,0.5097835707103482,,-0.506456,61.38,20,0
DBLCA,clust,brkga,17,1,,,-0.503536,27.95,20,0
DBLCA,clust,brkga,18,3,0.5328884700666277,,-0.523917,54.22,20,0
DBLCA,clust,brkga,19,3,0.5182212527192958,,-0.507966,61.05,20,0
