dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
DBLCA,clust,ils,0,2,0.38768839515480336,,-0.511666,40.79,20,0
DBLCA,clust,ils,1,3,0.5297352328144669,,-0.51545,22.74,20,0
DBLCA,clust,ils,2,1,,,-0.519786,38.76,20,0
DBLCA,clust,ils,3,3,0.3870470517432893,,-0.504529,53.18,20,0
DBLCA,clust,ils,4,2,0.36136438123786513,,-0.493349,57.72,20,0
DBLCA,clust,ils,5,3,0.5138623660100207,,-0.512292,48.81,20,0
DBLCA,clust,ils,6,3,0.36499957617875395,,-0.510093,14.76,20,0
DBLCA,clust,ils,7,2,0.3821620329967061,,-0.517772,60.84,20,0
DBLCA,clust,ils,8,3,0.5237886838458757,,-0.52206,52.58,20,0
DBLCA,clust,ils,9,3,0.5408916503748762,,-0.526804,55.25,20,0
DBLCA,clust,ils,10,2,0.3719953500061674,,-0.511989,36.29,20,0
DBLCA,clust,ils,11,3,0.5332803105916252,,-0.527622,10.68,20,0
DBLCA,clust,ils,12,4,0.304762922057249,,-0.501646,60.78,20,0
DBLCA,clust,ils,13,3,0.504867210839182,,-0.488683,43.5,20,0
DBLCA,clust,ils,14,3,0.5270437680974365,,-0.523196,45.1,20,0
DBLCA,clust,ils,15,4,0.3197349101213018,,-0.50453,45.63,20,0
DBLCA,clust,ils,16,2,0.25218961045506516,,-0.514895,22.49,20,0
DBLCA,clust,ils,17,3,0.5132236812926854,,-0.499868,56.65,20,0
DBLCA,clust,ils,18,3,0.5119659970741575,,-0.507703,52.11,20,0
DBLCA,clust,ils,19,3,0.5102096001709531,,-0.509783,61.91,20,0
