dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
DBLCA,clust,vns,0,3,0.5228229875492459,,-0.515822,23.49,20,0
DBLCA,clust,vns,1,2,0.3900302240913304,,-0.515822,39.09,20,0
DBLCA,clust,vns,2,3,0.5026725875960405,,-0.503337,58.95,20,0
DBLCA,clust,vns,3,1,,,-0.514408,46.33,20,0
DBLCA,clust,vns,4,3,0.5136066954836003,,-0.511022,50.79,20,0
DBLCA,clust,vns,5,3,0.5127710027770287,,-0.511741,54.09,20,0
DBLCA,clust,vns,6,2,0.40100744983957903,,-0.52593,26.64,20,0
DBLCA,clust,vns,7,3,0.5107327056650731,,-0.495528,53.27,20,0
DBLCA,clust,vns,8,2,0.4084240035444687,,-0.527915,31.58,20,0
DBLCA,clust,vns,9,3,0.526139106751716,,-0.520546,58.39,20,0
DBLCA,clust,vns,10,2,0.37586616618080265,,-0.511494,25.83,20,0
DBLCA,clust,vns,11,3,0.5088083513432351,,-0.502987,56.07,20,0
DBLCA,clust,vns,12,1,,,-0.504439,22.3,20,0
DBLCA,clust,vns,13,3,0.5367952412923048,,-0.528505,38.61,20,0
DBLCA,clust,vns,14,3,0.524951606536382,,-0.52141,20.84,20,0
DBLCA,clust,vns,15,3,0.5376484735918127,,-0.530724,60.53,20,0
DBLCA,clust,vns,16,3,0.4989955729624171,,-0.498435,58.59,20,0
DBLCA,clust,vns,17,2,0.3946176027081916,,-0.518653,32.41,20,0
DBLCA,clust,vns,18,3,0.5000466171741895,,-0.49779,11.66,20,0
DBLCA,clust,vns,19,3,0.5062860111851306,,-0.504035,52.48,20,0
