dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
DOWJONES,clust,brkga,0,2,0.6365568073093232,,-0.622684,57.18,20,0
DOWJONES,clust,brkga,1,2,0.6649913086275279,,-0.616416,62.99,20,0
DOWJONES,clust,brkga,2,2,0.645700369957385,,-0.628183,13.89,20,0
DOWJONES,clust,brkga,3,2,0.60127650415271,,-0.677113,24.97,20,0
DOWJONES,clust,brkga,4,2,0.6021253765394746,,-0.675211,62.26,20,0
DOWJONES,clust,brkga,5,2,0.645700369957385,,-0.628183,30.9,20,0
DOWJONES,clust,brkga,6,2,0.632809335610005,,-0.626893,24.69,20,0
DOWJONES,clust,brkga,7,2,0.5831523854699883,,-0.658089,56.46,20,0
DOWJONES,clust,brkga,8,2,0.6458666486818736,,-0.628753,24.92,20,0
DOWJONES,clust,brkga,9,2,0.6315341045752579,,-0.625994,62.89,20,0
DOWJONES,clust,brkga,10,2,0.645700369957385,,-0.628183,16.68,20,0
DOWJONES,clust,brkga,11,2,0.6104266390377199,,-0.679607,26.9,20,0
DOWJONES,clust,brkga,12,3,0.5910954592541944,,-0.628874,33.41,20,0
DOWJONES,clust,brkga,13,2,0.6631621728558724,,-0.616181,23.6,20,0
DOWJONES,clust,brkga,14,2,0.641371661053611,,-0.62661,25.35,20,0
DOWJONES,clust,brkga,15,2,0.6197788179216154,,-0.621198,30.59,20,0
DOWJONES,clust,brkga,16,2,0.6349489035246159,,-0.626046,60.69,20,0
DOWJONES,clust,brkga,17,2,0.6463168752107119,,-0.629118,62.25,20,0
DOWJONES,clust,brkga,18,2,0.6349489035246159,,-0.626046,56.18,20,0
DOWJONES,clust,brkga,19,2,0.5871557045989102,,-0.663761,47.2,20,0
