dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
DOWJONES,clust,ils,0,2,0.6486680406194073,,-0.634714,17.7,20,0
DOWJONES,clust,ils,1,2,0.6651689447353165,,-0.627023,27.28,20,0
DOWJONES,clust,ils,2,2,0.6524474039741653,,-0.636016,53.96,20,0
DOWJONES,clust,ils,3,3,0.5982253193308165,,-0.637236,49.01,20,0
DOWJONES,clust,ils,4,2,0.6080120607124904,,-0.685627,63.64,20,0
DOWJONES,clust,ils,5,3,0.6115067269234435,,-0.645142,56.2,20,0
DOWJONES,clust,ils,6,2,0.5865555201085723,,-0.568192,55.59,20,0
DOWJONES,clust,ils,7,2,0.645700369957385,,-0.628183,0.96,20,0
DOWJONES,clust,ils,8,2,0.6220600685704853,,-0.697574,31.28,20,0
DOWJONES,clust,ils,9,2,0.6490744629990679,,-0.634266,55.89,20,0
DOWJONES,clust,ils,10,2,0.6534150233716061,,-0.638305,17.61,20,0
DOWJONES,clust,ils,11,3,0.343000966772043,,-0.477819,58.23,20,0
DOWJONES,clust,ils,12,3,0.5906708163460077,,-0.643553,52.67,20,0
DOWJONES,clust,ils,13,3,0.6444677604841965,,-0.613862,57.32,20,0
DOWJONES,clust,ils,14,2,0.6334811216671989,,-0.714849,25.32,20,0
DOWJONES,clust,ils,15,2,0.6231697646071882,,-0.704678,47.2,20,0
DOWJONES,clust,ils,16,2,0.5749853547895467,,-0.570243,40.32,20,0
DOWJONES,clust,ils,17,2,0.6493845119388136,,-0.637614,18.16,20,0
DOWJONES,clust,ils,18,2,0.5161493001442576,,-0.601671,46.23,20,0
DOWJONES,clust,ils,19,2,0.6142859773293368,,-0.688717,32.31,20,0
