dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
DOWJONES,clust,vns,0,3,0.5609141156129869,,-0.633006,53.65,20,0
DOWJONES,clust,vns,1,2,0.6564541401362152,,-0.609311,1.38,20,0
DOWJONES,clust,vns,2,2,0.6201881534486973,,-0.697405,46.87,20,0
DOWJONES,clust,vns,3,2,0.6486027419001634,,-0.631874,56.07,20,0
DOWJONES,clust,vns,4,5,0.3964009838285677,,-0.45661,32.66,20,0
DOWJONES,clust,vns,5,2,0.5538027400905972,,-0.634144,43.9,20,0
DOWJONES,clust,vns,6,2,0.649026482189789,,-0.636115,36.01,20,0
DOWJONES,clust,vns,7,2,0.6467835315998217,,-0.638043,20.0,20,0
DOWJONES,clust,vns,8,2,0.6128860338905747,,-0.691332,31.55,20,0
DOWJONES,clust,vns,9,3,0.6077094338687605,,-0.645852,62.63,20,0
DOWJONES,clust,vns,10,2,0.6035858815786346,,-0.679028,20.61,20,0
DOWJONES,clust,vns,11,3,0.5862915902484612,,-0.635057,45.33,20,0
DOWJONES,clust,vns,12,2,0.5585350376822836,,-0.546797,17.57,20,0
DOWJONES,clust,vns,13,3,0.5825460260197913,,-0.636809,48.23,20,0
DOWJONES,clust,vns,14,2,0.6504188780729525,,-0.64235,53.63,20,0
DOWJONES,clust,vns,15,2,0.645700369957385,,-0.628183,59.93,20,0
DOWJONES,clust,vns,16,2,0.6799304575099232,,-0.638049,57.98,20,0
DOWJONES,clust,vns,17,2,0.6567961543025338,,-0.610387,0.4,20,0
DOWJONES,clust,vns,18,2,0.6475299038286731,,-0.6369,57.27,20,0
DOWJONES,clust,vns,19,2,0.686024660313815,,-0.637902,47.73,20,0
