dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
ECOLI,classf,ils,0,4,0.4254549258764888,0.6168313831279689,-0.557676,58.68,20,0
ECOLI,classf,ils,1,4,0.41607450921204253,0.5808029867635501,-0.543693,25.03,20,0
ECOLI,classf,ils,2,2,0.37686933179750426,0.02554170054544555,-0.632885,6.39,20,0
ECOLI,classf,ils,3,2,0.38727471133366304,0.027201918417410903,-0.652972,56.11,20,0
ECOLI,classf,ils,4,2,0.3920947706444199,0.02809315802345075,-0.658962,25.04,20,0
ECOLI,classf,ils,5,4,0.4139689195412962,0.6839364617783317,-0.586907,19.31,20,0
ECOLI,classf,ils,6,2,0.37919542023707126,0.025749452332553133,-0.632564,6.88,20,0
ECOLI,classf,ils,7,4,0.40720497297819397,0.38978472246467616,-0.5615,57.41,20,0
ECOLI,classf,ils,8,4,0.4107475852299006,0.6973224067030724,-0.607318,37.49,20,0
ECOLI,classf,ils,9,3,0.5219177812877335,0.6272692900792066,-0.598784,56.56,20,0
ECOLI,classf,ils,10,4,0.45239960981074445,0.6605501014962347,-0.535711,17.66,20,0
ECOLI,classf,ils,11,5,0.4221890131961775,0.6581419168898935,-0.51222,49.51,20,0
ECOLI,classf,ils,12,3,0.5179205751337723,0.5827207288117598,-0.569302,33.83,20,0
ECOLI,classf,ils,13,2,0.3854630540433121,0.026525227687657284,-0.647004,34.6,20,0
ECOLI,classf,ils,14,2,0.48365588811729493,0.4017654915720326,-0.573217,43.89,20,0
ECOLI,classf,ils,15,2,0.3854630540433121,0.026525227687657284,-0.647004,61.79,20,0
ECOLI,classf,ils,16,4,0.448207432343067,0.7085657744516423,-0.599322,61.16,20,0
ECOLI,classf,ils,17,2,0.39252724237797715,0.027802079039180205,-0.654719,32.29,20,0
ECOLI,classf,ils,18,4,0.3817749679436886,0.6562415426611836,-0.568688,56.94,20,0
ECOLI,classf,ils,19,3,0.38805667297255947,0.49581120628252073,-0.490268,59.78,20,0
