dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
FACE,clust,brkga,0,4,0.5612125269930727,,-0.561605,59.8,20,0
FACE,clust,brkga,1,4,0.5518777059731099,,-0.551871,31.45,20,0
FACE,clust,brkga,2,4,0.546098876578433,,-0.546119,55.62,20,0
FACE,clust,brkga,3,5,0.524448070924656,,-0.525929,60.87,20,0
FACE,clust,brkga,4,4,0.5456741192982966,,-0.545792,58.9,20,0
FACE,clust,brkga,5,4,0.5499216219258546,,-0.549973,61.02,20,0
FACE,clust,brkga,6,5,0.5375790974419675,,-0.551485,30.22,20,0
FACE,clust,brkga,7,5,0.5343020272950042,,-0.550158,30.33,20,0
FACE,clust,brkga,8,4,0.5412395516708068,,-0.541185,61.37,20,0
FACE,clust,brkga,9,4,0.5453954736150104,,-0.545434,61.61,20,0
FACE,clust,brkga,10,4,0.5414336896013772,,-0.54176,56.66,20,0
FACE,clust,brkga,11,4,0.5447486860886156,,-0.545038,25.11,20,0
FACE,clust,brkga,12,4,0.5482236228107998,,-0.54823,33.55,20,0
FACE,clust,brkga,13,4,0.5390825695198687,,-0.53902,30.46,20,0
FACE,clust,brkga,14,4,0.5557203023165189,,-0.556006,57.22,20,0
FACE,clust,brkga,15,4,0.5542748624717562,,-0.554397,57.05,20,0
FACE,clust,brkga,16,4,0.5426226027015637,,-0.542863,25.72,20,0
FACE,clust,brkga,17,4,0.5531719993251611,,-0.553233,48.44,20,0
FACE,clust,brkga,18,4,0.5507069324434763,,-0.550816,32.28,20,0
FACE,clust,brkga,19,4,0.5492389253942161,,-0.549254,31.73,20,0
