dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
FACE,clust,ils,0,5,0.5436115128179458,,-0.543676,39.37,20,0
FACE,clust,ils,1,4,0.5287983273694297,,-0.528897,31.69,20,0
FACE,clust,ils,2,7,0.47727220909172835,,-0.52599,41.23,20,0
FACE,clust,ils,3,4,0.5451155625245482,,-0.546191,56.26,20,0
FACE,clust,ils,4,4,0.5579048995599455,,-0.557899,12.63,20,0
FACE,clust,ils,5,6,0.5581283166856994,,-0.558854,22.89,20,0
FACE,clust,ils,6,4,0.5591434270469191,,-0.559175,24.73,20,0
FACE,clust,ils,7,6,0.5470807519597851,,-0.548085,56.28,20,0
FACE,clust,ils,8,5,0.5411426870456565,,-0.54506,20.82,20,0
FACE,clust,ils,9,4,0.55816896295982,,-0.558208,52.09,20,0
FACE,clust,ils,10,12,0.47187893564760386,,-0.471884,53.15,20,0
FACE,clust,ils,11,4,0.5365025459800448,,-0.536867,44.67,20,0
FACE,clust,ils,12,5,0.5026577635672664,,-0.503922,56.0,20,0
FACE,clust,ils,13,4,0.5439676167404377,,-0.543973,61.38,20,0
FACE,clust,ils,14,4,0.5567972351534695,,-0.557101,45.31,20,0
FACE,clust,ils,15,4,0.5487253077058499,,-0.548837,28.78,20,0
FACE,clust,ils,16,4,0.5287983273694297,,-0.528897,9.59,20,0
FACE,clust,ils,17,4,0.5514283070290831,,-0.551341,54.71,20,0
FACE,clust,ils,18,6,0.5407806327081883,,-0.542321,17.26,20,0
FACE,clust,ils,19,4,0.5525823345634119,,-0.552887,35.58,20,0
