dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
FACE,clust,vns,0,7,0.3325886545797839,,-0.455104,39.85,20,0
FACE,clust,vns,1,6,0.5338016085646047,,-0.534617,55.04,20,0
FACE,clust,vns,2,4,0.5580929468766519,,-0.558232,21.23,20,0
FACE,clust,vns,3,5,0.5488090489658022,,-0.559865,52.72,20,0
FACE,clust,vns,4,5,0.5502512089593148,,-0.551438,42.79,20,0
FACE,clust,vns,5,6,0.48120272454470464,,-0.483848,50.68,20,0
FACE,clust,vns,6,6,0.5624907494793852,,-0.562916,45.02,20,0
FACE,clust,vns,7,5,0.5317477896119466,,-0.532469,33.42,20,0
FACE,clust,vns,8,5,0.5569421494075916,,-0.567862,55.21,20,0
FACE,clust,vns,9,6,0.550919785690847,,-0.552142,40.48,20,0
FACE,clust,vns,10,4,0.5559162472652118,,-0.555879,14.89,20,0
FACE,clust,vns,11,4,0.5308814399695351,,-0.530971,25.79,20,0
FACE,clust,vns,12,4,0.5630101540522008,,-0.563017,28.28,20,0
FACE,clust,vns,13,5,0.5390817598718324,,-0.54336,59.13,20,0
FACE,clust,vns,14,4,0.5520327895362027,,-0.554693,28.57,20,0
FACE,clust,vns,15,4,0.5632787701220503,,-0.563612,61.77,20,0
FACE,clust,vns,16,5,0.5336373241708489,,-0.537507,36.85,20,0
FACE,clust,vns,17,4,0.5535770741743169,,-0.553558,16.72,20,0
FACE,clust,vns,18,6,0.4993797761309118,,-0.511971,57.85,20,0
FACE,clust,vns,19,6,0.5625236902614568,,-0.563177,61.05,20,0
