dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
FLAME,classf,brkga,0,3,0.4146611590852482,0.5901958931248666,-0.410448,57.57,20,0
FLAME,classf,brkga,1,3,0.3955796611290793,0.6342846626245894,-0.408968,61.55,20,0
FLAME,classf,brkga,2,3,0.4362080815561054,0.6326754883384221,-0.442697,31.88,20,0
FLAME,classf,brkga,3,3,0.3905102811305889,0.5682692257123124,-0.401999,59.63,20,0
FLAME,classf,brkga,4,3,0.40049124374084283,0.6184492252809614,-0.412671,55.18,20,0
FLAME,classf,brkga,5,3,0.3861882912440251,0.5910999317978464,-0.399063,61.71,20,0
FLAME,classf,brkga,6,4,0.4169079097516954,0.4432294769490079,-0.419807,60.15,20,0
FLAME,classf,brkga,7,3,0.44260515005291284,0.6049320889252636,-0.429347,59.1,20,0
FLAME,classf,brkga,8,3,0.4055144630517913,0.6198327443152274,-0.417075,18.43,20,0
FLAME,classf,brkga,9,3,0.39683636651435894,0.5840170288889616,-0.406711,26.47,20,0
FLAME,classf,brkga,10,3,0.4261785675633646,0.5935750242050991,-0.419117,61.1,20,0
FLAME,classf,brkga,11,3,0.4601731369856685,0.6255377443842571,-0.447932,55.76,20,0
FLAME,classf,brkga,12,2,0.38622711032685036,0.4074461373911841,-0.392432,58.17,20,0
FLAME,classf,brkga,13,3,0.3917944479846385,0.6107264856125472,-0.408019,59.71,20,0
FLAME,classf,brkga,14,3,0.4464276650455029,0.618077505341728,-0.437159,48.95,20,0
FLAME,classf,brkga,15,3,0.38805587433555394,0.630317113234587,-0.406594,25.09,20,0
FLAME,classf,brkga,16,3,0.40284001384360685,0.5548687021028686,-0.409736,30.59,20,0
FLAME,classf,brkga,17,2,0.39031407864776607,0.267107334955049,-0.423811,58.88,20,0
FLAME,classf,brkga,18,3,0.42878220300386105,0.6076517728009969,-0.417752,57.26,20,0
FLAME,classf,brkga,19,3,0.4152930490706053,0.5499879402738805,-0.408118,26.99,20,0
