dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
FLAME,classf,ils,0,3,0.4140203345643909,0.621524403881452,-0.424212,60.13,20,0
FLAME,classf,ils,1,2,0.3754464465140824,0.37895270263559855,-0.435572,28.08,20,0
FLAME,classf,ils,2,2,0.36496273394383366,0.38326866980948243,-0.392942,61.83,20,0
FLAME,classf,ils,3,2,0.33048720712005947,0.8801182829168906,-0.408331,56.53,20,0
FLAME,classf,ils,4,3,0.39849364215311545,0.6083264599251572,-0.413115,56.11,20,0
FLAME,classf,ils,5,3,0.43885423112439587,0.6512211324250883,-0.447693,45.1,20,0
FLAME,classf,ils,6,2,0.3186653538885094,0.7585786513048176,-0.380186,17.79,20,0
FLAME,classf,ils,7,3,0.4368512913954295,0.656326548861927,-0.444476,58.54,20,0
FLAME,classf,ils,8,3,0.47461171799571766,0.628259745195916,-0.458976,50.79,20,0
FLAME,classf,ils,9,2,0.37539578811540325,0.43535831871141606,-0.397268,50.26,20,0
FLAME,classf,ils,10,3,0.4250004480828297,0.5259545414418344,-0.463221,61.09,20,0
FLAME,classf,ils,11,3,0.48645404775933915,0.633599206003246,-0.46518,49.31,20,0
FLAME,classf,ils,12,3,0.4255124485382156,0.6438837235101158,-0.432239,19.9,20,0
FLAME,classf,ils,13,2,0.3915403970411592,0.41437551305943987,-0.402479,29.7,20,0
FLAME,classf,ils,14,2,0.38961303737594066,0.424675038408695,-0.421129,60.66,20,0
FLAME,classf,ils,15,3,0.4407822307498505,0.5950745562241276,-0.432677,62.18,20,0
FLAME,classf,ils,16,3,0.4231519572446556,0.6572584820922903,-0.426161,39.34,20,0
FLAME,classf,ils,17,3,0.4474386147119835,0.617455714412555,-0.438375,55.5,20,0
FLAME,classf,ils,18,3,0.40959380118673794,0.5695159541382316,-0.410711,56.58,20,0
FLAME,classf,ils,19,3,0.4390618216661185,0.6461339731899578,-0.43047,33.14,20,0
