dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
FLAME,classf,vns,0,1,,0.0,-0.393101,12.47,20,0
FLAME,classf,vns,1,3,0.48331926730936,0.6251074747688684,-0.461838,28.63,20,0
FLAME,classf,vns,2,3,0.4816838281083683,0.627227620686898,-0.466672,36.65,20,0
FLAME,classf,vns,3,4,0.45244360029615277,0.4015249191180448,-0.454529,50.42,20,0
FLAME,classf,vns,4,2,0.37980218556000506,0.3964223024586929,-0.408712,39.22,20,0
FLAME,classf,vns,5,4,0.467421095333269,0.3527402439077389,-0.471951,61.6,20,0
FLAME,classf,vns,6,3,0.43914709191770696,0.6092751884292985,-0.4292,58.08,20,0
FLAME,classf,vns,7,3,0.3659992696550391,0.596349829994559,-0.383118,42.78,20,0
FLAME,classf,vns,8,2,0.40612749892076505,0.25044670832710886,-0.445979,51.09,20,0
FLAME,classf,vns,9,2,0.2946916109855323,0.6730709635053171,-0.423199,31.27,20,0
FLAME,classf,vns,10,2,0.40741311752887616,0.3469801179759697,-0.375722,48.05,20,0
FLAME,classf,vns,11,3,0.4223766489406036,0.6329505964242541,-0.434556,58.76,20,0
FLAME,classf,vns,12,2,0.38452903467239474,0.4270035754296184,-0.420795,59.86,20,0
FLAME,classf,vns,13,3,0.4387094585789775,0.6422196784214136,-0.443889,18.79,20,0
FLAME,classf,vns,14,3,0.4692580737773394,0.6266916375481412,-0.456951,57.81,20,0
FLAME,classf,vns,15,2,0.3344348237155394,0.3851747800471214,-0.347964,0.82,20,0
FLAME,classf,vns,16,4,0.43763833317532735,0.41474284011233864,-0.439913,49.03,20,0
FLAME,classf,vns,17,2,0.3731645330258482,0.39292802043246416,-0.378382,48.41,20,0
FLAME,classf,vns,18,3,0.3825285590637636,0.5281148306767501,-0.389364,0.74,20,0
FLAME,classf,vns,19,4,0.4674068941195575,0.42638382064413677,-0.46966,61.81,20,0
