dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
FORESTFIRES,clust,brkga,0,2,0.5053745901632049,,-0.501471,51.3,20,0
FORESTFIRES,clust,brkga,1,2,0.5058128771183832,,-0.510765,60.11,20,0
FORESTFIRES,clust,brkga,2,2,0.5933491260388442,,-0.592023,43.87,20,0
FORESTFIRES,clust,brkga,3,2,0.5044007066112325,,-0.499998,50.26,20,0
FORESTFIRES,clust,brkga,4,2,0.5969450739257833,,-0.600914,60.47,20,0
FORESTFIRES,clust,brkga,5,2,0.5910829181302512,,-0.590008,26.74,20,0
FORESTFIRES,clust,brkga,6,2,0.5034180315598619,,-0.509443,54.47,20,0
FORESTFIRES,clust,brkga,7,2,0.5067836551007041,,-0.512126,25.38,20,0
FORESTFIRES,clust,brkga,8,2,0.5389568584938051,,-0.543019,59.52,20,0
FORESTFIRES,clust,brkga,9,2,0.4798717880949586,,-0.484153,49.15,20,0
FORESTFIRES,clust,brkga,10,2,0.5058128771183832,,-0.510765,27.36,20,0
FORESTFIRES,clust,brkga,11,2,0.5711484904849397,,-0.56946,45.74,20,0
FORESTFIRES,clust,brkga,12,2,0.47617248103574744,,-0.482347,61.12,20,0
FORESTFIRES,clust,brkga,13,2,0.46853990354839525,,-0.478539,57.31,20,0
FORESTFIRES,clust,brkga,14,2,0.5058128771183832,,-0.510765,17.03,20,0
FORESTFIRES,clust,brkga,15,2,0.4680379474487405,,-0.475338,58.56,20,0
FORESTFIRES,clust,brkga,16,2,0.5053745901632049,,-0.501471,62.59,20,0
FORESTFIRES,clust,brkga,17,2,0.5034180315598619,,-0.509443,56.04,20,0
FORESTFIRES,clust,brkga,18,2,0.5924329625288309,,-0.595859,26.53,20,0
FORESTFIRES,clust,brkga,19,2,0.5058128771183832,,-0.510765,52.74,20,0
