dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
FORESTFIRES,clust,ils,0,3,0.4537807899090237,,-0.454291,53.04,20,0
FORESTFIRES,clust,ils,1,3,0.43069671641079166,,-0.501976,34.17,20,0
FORESTFIRES,clust,ils,2,2,0.46832732914288605,,-0.492307,63.25,20,0
FORESTFIRES,clust,ils,3,2,0.5978531638679122,,-0.601508,53.82,20,0
FORESTFIRES,clust,ils,4,2,0.5759401685084913,,-0.576565,11.91,20,0
FORESTFIRES,clust,ils,5,2,0.4876191925144179,,-0.489356,62.88,20,0
FORESTFIRES,clust,ils,6,2,0.5979880185801075,,-0.600749,62.9,20,0
FORESTFIRES,clust,ils,7,2,0.5806457202354017,,-0.585033,50.56,20,0
FORESTFIRES,clust,ils,8,2,0.5716262142941978,,-0.574297,54.37,20,0
FORESTFIRES,clust,ils,9,2,0.5861194011690337,,-0.59302,17.85,20,0
FORESTFIRES,clust,ils,10,2,0.4840699338398182,,-0.484938,32.14,20,0
FORESTFIRES,clust,ils,11,2,0.4616469622491997,,-0.476087,53.48,20,0
FORESTFIRES,clust,ils,12,2,0.6116234193081609,,-0.618991,45.78,20,0
FORESTFIRES,clust,ils,13,2,0.5832010873965383,,-0.589529,17.59,20,0
FORESTFIRES,clust,ils,14,3,0.4430263445625377,,-0.44667,63.02,20,0
FORESTFIRES,clust,ils,15,2,0.5940925659733608,,-0.592887,59.53,20,0
FORESTFIRES,clust,ils,16,2,0.4646772216537563,,-0.486302,61.05,20,0
FORESTFIRES,clust,ils,17,2,0.4583562523149435,,-0.474687,9.4,20,0
FORESTFIRES,clust,ils,18,3,0.43833738769898434,,-0.51064,61.87,20,0
FORESTFIRES,clust,ils,19,2,0.5996825892829022,,-0.604082,26.87,20,0
