dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
GAMMA400,clust,brkga,0,2,0.5666465972487696,,-0.559332,36.87,20,0
GAMMA400,clust,brkga,1,2,0.590779554950422,,-0.579532,63.09,20,0
GAMMA400,clust,brkga,2,2,0.5795305754445196,,-0.579368,59.94,20,0
GAMMA400,clust,brkga,3,2,0.5868687743741082,,-0.603625,0.23,20,0
GAMMA400,clust,brkga,4,2,0.5924709804852543,,-0.588451,60.24,20,0
GAMMA400,clust,brkga,5,2,0.5994053564417341,,-0.597242,63.02,20,0
GAMMA400,clust,brkga,6,2,0.5755819457113718,,-0.575499,5.05,20,0
GAMMA400,clust,brkga,7,2,0.5948097172818094,,-0.589777,62.19,20,0
GAMMA400,clust,brkga,8,2,0.6132074924552763,,-0.593045,29.89,20,0
GAMMA400,clust,brkga,9,2,0.5777712964236318,,-0.582529,34.09,20,0
GAMMA400,clust,brkga,10,2,0.590986731027061,,-0.586042,54.64,20,0
GAMMA400,clust,brkga,11,3,0.5246304497160778,,-0.586912,61.99,20,0
GAMMA400,clust,brkga,12,2,0.5605896832158608,,-0.564434,61.86,20,0
GAMMA400,clust,brkga,13,2,0.5662474148731114,,-0.572347,58.05,20,0
GAMMA400,clust,brkga,14,2,0.5997827928274801,,-0.589343,27.08,20,0
GAMMA400,clust,brkga,15,2,0.5985482230388314,,-0.584761,58.67,20,0
GAMMA400,clust,brkga,16,2,0.5725253413220431,,-0.586034,48.75,20,0
GAMMA400,clust,brkga,17,2,0.5878642853402072,,-0.581676,55.81,20,0
GAMMA400,clust,brkga,18,2,0.594038087925794,,-0.590093,61.48,20,0
GAMMA400,clust,brkga,19,2,0.5970265682803244,,-0.593949,28.35,20,0
