dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
GAMMA400,clust,ils,0,2,0.5793063605894389,,-0.570006,60.32,20,0
GAMMA400,clust,ils,1,2,0.5695512999325001,,-0.582499,55.2,20,0
GAMMA400,clust,ils,2,2,0.6068419762624914,,-0.606861,8.55,20,0
GAMMA400,clust,ils,3,2,0.6217820192881576,,-0.623418,34.79,20,0
GAMMA400,clust,ils,4,2,0.5644803619400964,,-0.548444,0.54,20,0
GAMMA400,clust,ils,5,2,0.5948097172818094,,-0.589777,47.7,20,0
GAMMA400,clust,ils,6,2,0.6059908510929213,,-0.606071,24.45,20,0
GAMMA400,clust,ils,7,2,0.6122459704147502,,-0.61476,24.8,20,0
GAMMA400,clust,ils,8,2,0.5765696932328844,,-0.589362,29.43,20,0
GAMMA400,clust,ils,9,2,0.6081451917236776,,-0.607784,30.91,20,0
GAMMA400,clust,ils,10,2,0.5921546837699312,,-0.610606,60.39,20,0
GAMMA400,clust,ils,11,3,0.46152577461847344,,-0.463106,53.74,20,0
GAMMA400,clust,ils,12,2,0.5789346738274248,,-0.569831,9.22,20,0
GAMMA400,clust,ils,13,3,0.5509648900270464,,-0.602024,44.68,20,0
GAMMA400,clust,ils,14,2,0.5908079598741665,,-0.611964,24.43,20,0
GAMMA400,clust,ils,15,2,0.5971065816138714,,-0.59709,21.59,20,0
GAMMA400,clust,ils,16,2,0.591297409424876,,-0.575443,46.62,20,0
GAMMA400,clust,ils,17,3,0.4720995069183445,,-0.463498,49.84,20,0
GAMMA400,clust,ils,18,2,0.5921546837699312,,-0.610606,27.65,20,0
GAMMA400,clust,ils,19,2,0.5984424429837953,,-0.593235,32.44,20,0
