dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
GAMMA400,clust,vns,0,2,0.5939274520594,,-0.61477,58.66,20,0
GAMMA400,clust,vns,1,3,0.5367430999667195,,-0.593109,60.55,20,0
GAMMA400,clust,vns,2,2,0.6102873926257437,,-0.608769,59.73,20,0
GAMMA400,clust,vns,3,2,0.5868687743741082,,-0.603625,0.27,20,0
GAMMA400,clust,vns,4,2,0.5644803619400964,,-0.548444,0.38,20,0
GAMMA400,clust,vns,5,3,0.4718731721093735,,-0.467773,56.51,20,0
GAMMA400,clust,vns,6,2,0.5828570813847729,,-0.602332,48.64,20,0
GAMMA400,clust,vns,7,3,0.47594221747146864,,-0.475381,62.96,20,0
GAMMA400,clust,vns,8,5,0.37756119051326614,,-0.445937,56.45,20,0
GAMMA400,clust,vns,9,2,0.5993504519443809,,-0.624802,47.92,20,0
GAMMA400,clust,vns,10,2,0.5824948426789216,,-0.57161,37.58,20,0
GAMMA400,clust,vns,11,2,0.6195402628530156,,-0.618067,58.57,20,0
GAMMA400,clust,vns,12,2,0.5973451067375424,,-0.591831,23.18,20,0
GAMMA400,clust,vns,13,3,0.47158521096681405,,-0.528055,28.37,20,0
GAMMA400,clust,vns,14,2,0.5878241850914203,,-0.586387,62.67,20,0
GAMMA400,clust,vns,15,2,0.5945256787902403,,-0.617825,36.13,20,0
GAMMA400,clust,vns,16,3,0.530079355489514,,-0.589215,42.07,20,0
GAMMA400,clust,vns,17,2,0.6030705657527887,,-0.602404,50.7,20,0
GAMMA400,clust,vns,18,2,0.5973451067375424,,-0.591831,38.79,20,0
GAMMA400,clust,vns,19,2,0.5976663098397226,,-0.622844,34.29,20,0
