dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
GAUSS9,clust,brkga,0,10,0.315,,,,20,
GAUSS9,clust,brkga,1,4,0.3099,,,,20,
GAUSS9,clust,brkga,2,8,0.2464,,,,20,
GAUSS9,clust,brkga,3,4,0.3198,,,,20,
GAUSS9,clust,brkga,4,4,0.3213,,,,20,
GAUSS9,clust,brkga,5,11,0.2641,,,,20,
GAUSS9,clust,brkga,6,7,0.245,,,,20,
GAUSS9,clust,brkga,7,4,0.3118,,,,20,
GAUSS9,clust,brkga,8,4,0.3346,,,,20,
GAUSS9,clust,brkga,9,6,0.2799,,,,20,
GAUSS9,clust,brkga,10,2,0.3189,,,,20,
GAUSS9,clust,brkga,11,10,0.3334,,,,20,
GAUSS9,clust,brkga,12,9,0.3086,,,,20,
GAUSS9,clust,brkga,13,4,0.3185,,,,20,
GAUSS9,clust,brkga,14,7,0.2483,,,,20,
GAUSS9,clust,brkga,15,4,0.3228,,,,20,
GAUSS9,clust,brkga,16,5,0.2549743387735364,,-0.322424,21.74,20,0.0
GAUSS9,clust,brkga,17,4,0.3245102302529633,,-0.32561,51.23,20,0.0
GAUSS9,clust,brkga,18,6,0.3352103611308431,,-0.328591,33.71,20,0.0
GAUSS9,clust,brkga,19,4,0.3362095640677337,,-0.346742,19.02,20,0.0
