dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
GAUSS9,clust,vns,0,4,0.3284083313670665,,-0.329218,31.48,20,0
GAUSS9,clust,vns,1,11,0.258947806846643,,-0.360716,34.03,20,0
GAUSS9,clust,vns,2,11,0.3312613365754302,,-0.363433,50.16,20,0
GAUSS9,clust,vns,3,6,0.3179411655603593,,-0.327737,60.97,20,0
GAUSS9,clust,vns,4,8,0.2612098086189698,,-0.376797,18.73,20,0
GAUSS9,clust,vns,5,7,0.3429308624590456,,-0.345689,63.41,20,0
GAUSS9,clust,vns,6,10,0.33595262995256436,,-0.354066,61.5,20,0
GAUSS9,clust,vns,7,7,0.34716264707071004,,-0.345431,39.51,20,0
GAUSS9,clust,vns,8,4,0.2584255324775876,,-0.365564,54.35,20,0
GAUSS9,clust,vns,9,6,0.21718934929344474,,-0.361966,41.74,20,0
GAUSS9,clust,vns,10,8,0.2651575910880887,,-0.37781,46.91,20,0
GAUSS9,clust,vns,11,6,0.2862700207884301,,-0.32885,39.14,20,0
GAUSS9,clust,vns,12,5,0.19214308064494479,,-0.351306,58.18,20,0
GAUSS9,clust,vns,13,2,0.32355079679477533,,-0.330306,27.47,20,0
GAUSS9,clust,vns,14,2,0.3220694648485495,,-0.331872,37.91,20,0
GAUSS9,clust,vns,15,7,0.36958586829052403,,-0.370799,63.53,20,0
GAUSS9,clust,vns,16,2,0.325258388401628,,-0.330481,39.75,20,0
GAUSS9,clust,vns,17,7,0.3675515798318155,,-0.370718,63.83,20,0
GAUSS9,clust,vns,18,9,0.39688037378037505,,-0.396442,43.66,20,0
GAUSS9,clust,vns,19,6,0.2780190442975145,,-0.328093,15.49,20,0
