dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
GLASS,classf,ils,0,2,0.6466279351472533,0.19671784149788882,-0.664481,49.52,20,0
GLASS,classf,ils,1,2,0.5900324673967616,0.20157106751847223,-0.647181,48.13,20,0
GLASS,classf,ils,2,3,0.6714599547783279,0.18070426277630863,-0.667771,61.21,20,0
GLASS,classf,ils,3,3,0.6691394434175902,0.1585646780153914,-0.657773,49.05,20,0
GLASS,classf,ils,4,2,0.6244136872207313,-0.011307283150488234,-0.671763,22.27,20,0
GLASS,classf,ils,5,2,0.6329098982300895,0.16259696646491645,-0.653502,36.02,20,0
GLASS,classf,ils,6,3,0.6734332527112123,0.19846422760523924,-0.665963,33.06,20,0
GLASS,classf,ils,7,4,0.5124735972726318,0.24753873809536744,-0.62548,11.98,20,0
GLASS,classf,ils,8,2,0.634207388278538,0.17701530724593645,-0.660468,51.03,20,0
GLASS,classf,ils,9,3,0.6740978234608065,0.20412844485532175,-0.665544,55.97,20,0
GLASS,classf,ils,10,2,0.6552569092750403,0.16004824029201276,-0.648042,55.55,20,0
GLASS,classf,ils,11,3,0.5807767281657673,0.23775497977129625,-0.641349,39.53,20,0
GLASS,classf,ils,12,3,0.5746657672215739,0.26321805997675407,-0.632502,58.6,20,0
GLASS,classf,ils,13,3,0.7054781006090229,0.19544106359911423,-0.689363,50.79,20,0
GLASS,classf,ils,14,3,0.6164899332290303,0.22741055246969516,-0.64319,61.1,20,0
GLASS,classf,ils,15,3,0.6833064150351157,0.16863330852187486,-0.652027,52.57,20,0
GLASS,classf,ils,16,2,0.6421841296193963,0.1872399051688682,-0.631517,9.51,20,0
GLASS,classf,ils,17,3,0.6446425692438773,0.24713400996900983,-0.66493,30.61,20,0
GLASS,classf,ils,18,2,0.6885540190979385,0.12638593940196202,-0.664878,26.36,20,0
GLASS,classf,ils,19,3,0.5654558598072941,0.263624776144263,-0.636146,56.65,20,0
