dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
HABERMAN,classf,brkga,0,2,0.5935515402726064,0.036336925287387106,-0.600623,57.91,20,0
HABERMAN,classf,brkga,1,2,0.6122519330638109,0.03998350678418975,-0.624299,32.33,20,0
HABERMAN,classf,brkga,2,2,0.6006628805035935,0.036730734766792436,-0.605902,61.73,20,0
HABERMAN,classf,brkga,3,2,0.541315754731391,0.08408700214548927,-0.549331,55.0,20,0
HABERMAN,classf,brkga,4,2,0.5501846197552644,0.03817746049542738,-0.555707,55.66,20,0
HABERMAN,classf,brkga,5,2,0.6017448781831229,0.037079365453040004,-0.610855,61.51,20,0
HABERMAN,classf,brkga,6,2,0.5940259580631846,0.03180772309297474,-0.603118,58.07,20,0
HABERMAN,classf,brkga,7,2,0.5900961969055621,0.03650731885228357,-0.595879,22.95,20,0
HABERMAN,classf,brkga,8,2,0.5938220247827496,0.036905558230051094,-0.595892,28.7,20,0
HABERMAN,classf,brkga,9,2,0.5904882460327349,0.031248261543668537,-0.603035,59.81,20,0
HABERMAN,classf,brkga,10,2,0.554878379625499,0.0329678520674558,-0.573164,31.15,20,0
HABERMAN,classf,brkga,11,2,0.5987334345964784,0.03599317608825943,-0.605881,53.29,20,0
HABERMAN,classf,brkga,12,2,0.6003294751148222,0.0329678520674558,-0.616121,31.44,20,0
HABERMAN,classf,brkga,13,2,0.5929286885621342,0.037079365453040004,-0.59589,47.49,20,0
HABERMAN,classf,brkga,14,2,0.6017448781831229,0.037079365453040004,-0.610855,61.51,20,0
HABERMAN,classf,brkga,15,2,0.6038993973470246,0.036730734766792436,-0.611107,55.49,20,0
HABERMAN,classf,brkga,16,2,0.554411706680591,0.06445245940541391,-0.571986,61.56,20,0
HABERMAN,classf,brkga,17,2,0.6105758369495472,0.03881062982010384,-0.620359,59.32,20,0
HABERMAN,classf,brkga,18,2,0.5910681700019993,0.036336925287387106,-0.595884,45.91,20,0
HABERMAN,classf,brkga,19,2,0.5706850044912603,0.03193988658065034,-0.576942,51.31,20,0
