dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
HABERMAN,classf,ils,0,2,0.549097523458726,0.03839120183294262,-0.555722,51.74,20,0
HABERMAN,classf,ils,1,2,0.5924291760767652,0.03500853753149455,-0.6017,18.82,20,0
HABERMAN,classf,ils,2,2,0.592144733618031,0.03616554688703489,-0.596083,28.26,20,0
HABERMAN,classf,ils,3,2,0.5716489900146352,0.07163197694151566,-0.583117,55.22,20,0
HABERMAN,classf,ils,4,2,0.6047293059086829,0.03766809593509297,-0.610915,18.48,20,0
HABERMAN,classf,ils,5,2,0.5365170763026863,0.06209068604532076,-0.544563,24.67,20,0
HABERMAN,classf,ils,6,2,0.5519742558613732,0.032385126995956845,-0.560478,56.3,20,0
HABERMAN,classf,ils,7,4,0.3645778015185134,0.030226950637446584,-0.451893,45.36,20,0
HABERMAN,classf,ils,8,2,0.5985508277541454,0.021987834617126358,-0.625527,38.51,20,0
HABERMAN,classf,ils,9,2,0.6017448781831229,0.037079365453040004,-0.610855,59.37,20,0
HABERMAN,classf,ils,10,2,0.6135714496478025,0.028667045799375367,-0.64637,26.24,20,0
HABERMAN,classf,ils,11,2,0.5616639704342677,0.020377814177155517,-0.567922,51.98,20,0
HABERMAN,classf,ils,12,3,0.2909028422687017,-0.0011631999971411368,-0.447792,42.99,20,0
HABERMAN,classf,ils,13,3,0.11082453798577281,-0.04389151161328113,-0.416545,57.89,20,0
HABERMAN,classf,ils,14,2,0.5472507345755443,0.022363373444282977,-0.547044,31.9,20,0
HABERMAN,classf,ils,15,2,0.6330934280012676,0.03991521203473901,-0.646399,56.13,20,0
HABERMAN,classf,ils,16,2,0.6340407350445901,0.04096266807886259,-0.646203,54.78,20,0
HABERMAN,classf,ils,17,2,0.6141276018599904,0.036029864976443365,-0.624278,61.92,20,0
HABERMAN,classf,ils,18,2,0.592144733618031,0.03616554688703489,-0.596083,12.49,20,0
HABERMAN,classf,ils,19,4,0.29505401327344444,0.030611119520309555,-0.391823,51.91,20,0
