dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
HABERMAN,classf,vns,0,2,0.529584406875948,0.017342949417540665,-0.53432,30.04,20,0
HABERMAN,classf,vns,1,2,0.5752264973125321,0.020788590734777696,-0.585917,39.77,20,0
HABERMAN,classf,vns,2,2,0.6038993973470246,0.036730734766792436,-0.611107,21.99,20,0
HABERMAN,classf,vns,3,2,0.611740581743161,0.03863288423410538,-0.620616,60.32,20,0
HABERMAN,classf,vns,4,2,0.6016184278564777,0.03258039222893503,-0.612843,61.24,20,0
HABERMAN,classf,vns,5,2,0.5622311931466386,0.06805415369569363,-0.572995,20.84,20,0
HABERMAN,classf,vns,6,2,0.5893586586288017,0.021540171122204983,-0.609106,31.63,20,0
HABERMAN,classf,vns,7,2,0.5404679556264079,0.017517644702958877,-0.544372,60.71,20,0
HABERMAN,classf,vns,8,2,0.592144733618031,0.03616554688703489,-0.596083,19.99,20,0
HABERMAN,classf,vns,9,2,0.5998476345925768,0.035819805272223414,-0.606099,39.51,20,0
HABERMAN,classf,vns,10,2,0.5717842172108775,0.021580843136951782,-0.590851,34.86,20,0
HABERMAN,classf,vns,11,2,0.5472507345755443,0.022363373444282977,-0.547044,48.31,20,0
HABERMAN,classf,vns,12,2,0.5900961969055621,0.03650731885228357,-0.595879,9.62,20,0
HABERMAN,classf,vns,13,3,0.4283623686454976,0.06240524946260889,-0.428089,17.59,20,0
HABERMAN,classf,vns,14,2,0.5573300674887164,0.023637119660387475,-0.567169,16.34,20,0
HABERMAN,classf,vns,15,2,0.5892571174764671,0.07806685665704513,-0.601479,54.15,20,0
HABERMAN,classf,vns,16,2,0.5443990089704948,0.021327551687351773,-0.547033,17.93,20,0
HABERMAN,classf,vns,17,2,0.592144733618031,0.03616554688703489,-0.596083,35.42,20,0
HABERMAN,classf,vns,18,2,0.6631778273438034,0.04530845236628095,-0.683185,41.29,20,0
HABERMAN,classf,vns,19,2,0.6038993973470246,0.036730734766792436,-0.611107,13.78,20,0
