dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
HAYES-ROTH,clust,brkga,0,3,0.36994806063013197,,-0.476165,55.34,20,0
HAYES-ROTH,clust,brkga,1,2,0.5307261177312628,,-0.476174,25.86,20,0
HAYES-ROTH,clust,brkga,2,3,0.3381473536549722,,-0.478576,46.25,20,0
HAYES-ROTH,clust,brkga,3,2,0.5385754173730248,,-0.503198,58.92,20,0
HAYES-ROTH,clust,brkga,4,2,0.1983820986551632,,-0.501333,26.93,20,0
HAYES-ROTH,clust,brkga,5,1,,,-0.496598,59.69,20,0
HAYES-ROTH,clust,brkga,6,2,0.541929742550658,,-0.491258,56.22,20,0
HAYES-ROTH,clust,brkga,7,1,,,-0.498006,48.53,20,0
HAYES-ROTH,clust,brkga,8,2,0.5413151614122529,,-0.486321,55.17,20,0
HAYES-ROTH,clust,brkga,9,3,0.3572200421300849,,-0.503198,31.21,20,0
HAYES-ROTH,clust,brkga,10,3,0.3256141157307444,,-0.500705,26.22,20,0
HAYES-ROTH,clust,brkga,11,2,0.5364263268680368,,-0.482929,57.11,20,0
HAYES-ROTH,clust,brkga,12,1,,,-0.486839,54.38,20,0
HAYES-ROTH,clust,brkga,13,1,,,-0.485766,28.41,20,0
HAYES-ROTH,clust,brkga,14,3,0.347175671968995,,-0.489044,51.98,20,0
HAYES-ROTH,clust,brkga,15,2,0.5600884694777349,,-0.499803,51.19,20,0
HAYES-ROTH,clust,brkga,16,1,,,-0.473877,59.74,20,0
HAYES-ROTH,clust,brkga,17,1,,,-0.500661,33.6,20,0
HAYES-ROTH,clust,brkga,18,1,,,-0.478452,61.97,20,0
HAYES-ROTH,clust,brkga,19,1,,,-0.481065,61.86,20,0
