dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
HAYES-ROTH,clust,ils,0,3,0.3758214781727815,,-0.504939,61.09,20,0
HAYES-ROTH,clust,ils,1,3,0.357953823773616,,-0.518237,53.1,20,0
HAYES-ROTH,clust,ils,2,3,0.375146174684921,,-0.524633,51.41,20,0
HAYES-ROTH,clust,ils,3,1,,,-0.500039,58.58,20,0
HAYES-ROTH,clust,ils,4,1,,,-0.490467,48.85,20,0
HAYES-ROTH,clust,ils,5,3,0.3400113711670379,,-0.476271,60.15,20,0
HAYES-ROTH,clust,ils,6,2,0.5706913036084361,,-0.518237,34.54,20,0
HAYES-ROTH,clust,ils,7,3,0.3359117754312059,,-0.480857,54.71,20,0
HAYES-ROTH,clust,ils,8,2,0.5633078185201018,,-0.504207,47.48,20,0
HAYES-ROTH,clust,ils,9,2,0.5801203562993348,,-0.501249,59.6,20,0
HAYES-ROTH,clust,ils,10,2,0.5545979621743047,,-0.48759,35.69,20,0
HAYES-ROTH,clust,ils,11,3,0.35822259840238796,,-0.503535,58.2,20,0
HAYES-ROTH,clust,ils,12,2,0.574612147608212,,-0.505499,15.03,20,0
HAYES-ROTH,clust,ils,13,2,0.49478085701846575,,-0.469807,61.49,20,0
HAYES-ROTH,clust,ils,14,2,0.18883014934249,,-0.499832,42.08,20,0
HAYES-ROTH,clust,ils,15,1,,,-0.503969,2.34,20,0
HAYES-ROTH,clust,ils,16,1,,,-0.490702,53.75,20,0
HAYES-ROTH,clust,ils,17,3,0.4341791086917128,,-0.436109,16.51,20,0
HAYES-ROTH,clust,ils,18,1,,,-0.508061,52.23,20,0
HAYES-ROTH,clust,ils,19,2,0.5558464995926188,,-0.490702,61.07,20,0
