dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
HAYES-ROTH,clust,vns,0,3,0.3500338270244165,,-0.496868,48.21,20,0
HAYES-ROTH,clust,vns,1,1,,,-0.500039,18.03,20,0
HAYES-ROTH,clust,vns,2,1,,,-0.500039,52.35,20,0
HAYES-ROTH,clust,vns,3,2,0.5091215447739842,,-0.456575,42.55,20,0
HAYES-ROTH,clust,vns,4,3,0.4927756150256221,,-0.490382,12.14,20,0
HAYES-ROTH,clust,vns,5,2,0.3769321040431694,,-0.482809,44.67,20,0
HAYES-ROTH,clust,vns,6,1,,,-0.498798,4.97,20,0
HAYES-ROTH,clust,vns,7,3,0.3732609615013219,,-0.494735,52.03,20,0
HAYES-ROTH,clust,vns,8,2,0.20705659662425152,,-0.512184,48.3,20,0
HAYES-ROTH,clust,vns,9,2,0.5639934875648306,,-0.506209,56.03,20,0
HAYES-ROTH,clust,vns,10,1,,,-0.500074,35.72,20,0
HAYES-ROTH,clust,vns,11,2,0.313340247710695,,-0.506593,35.24,20,0
HAYES-ROTH,clust,vns,12,1,,,-0.501092,35.74,20,0
HAYES-ROTH,clust,vns,13,2,0.5530216703560891,,-0.501551,8.75,20,0
HAYES-ROTH,clust,vns,14,3,0.3184650730992387,,-0.505566,56.99,20,0
HAYES-ROTH,clust,vns,15,2,0.5558802612340172,,-0.492067,55.8,20,0
HAYES-ROTH,clust,vns,16,3,0.4883496212102511,,-0.478587,11.57,20,0
HAYES-ROTH,clust,vns,17,2,0.5657462459826501,,-0.500958,36.3,20,0
HAYES-ROTH,clust,vns,18,2,0.5319472263903469,,-0.478065,49.12,20,0
HAYES-ROTH,clust,vns,19,3,0.3063548399707247,,-0.478722,40.8,20,0
