dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
INDIAN,clust,brkga,0,2,0.6988311261729493,,-0.699433,31.81,20,0
INDIAN,clust,brkga,1,2,0.7299838411283154,,-0.730258,59.5,20,0
INDIAN,clust,brkga,2,2,0.7121544486044443,,-0.710397,40.22,20,0
INDIAN,clust,brkga,3,2,0.7242603263649238,,-0.725013,59.48,20,0
INDIAN,clust,brkga,4,2,0.7521831344247212,,-0.755271,16.71,20,0
INDIAN,clust,brkga,5,2,0.7195094181588368,,-0.725812,46.77,20,0
INDIAN,clust,brkga,6,2,0.752240948820433,,-0.755709,58.82,20,0
INDIAN,clust,brkga,7,2,0.6862843089998898,,-0.691991,60.45,20,0
INDIAN,clust,brkga,8,2,0.69232663080906,,-0.699756,30.65,20,0
INDIAN,clust,brkga,9,2,0.7521831344247212,,-0.755271,48.35,20,0
INDIAN,clust,brkga,10,2,0.6920670077035928,,-0.700155,32.88,20,0
INDIAN,clust,brkga,11,2,0.7013889320395903,,-0.700165,60.1,20,0
INDIAN,clust,brkga,12,2,0.7228763210827025,,-0.723596,58.36,20,0
INDIAN,clust,brkga,13,2,0.7329413055208336,,-0.74006,30.64,20,0
INDIAN,clust,brkga,14,2,0.6988311261729493,,-0.699433,32.36,20,0
INDIAN,clust,brkga,15,2,0.6895223094995612,,-0.699638,31.95,20,0
INDIAN,clust,brkga,16,2,0.6565860117729098,,-0.66649,57.11,20,0
INDIAN,clust,brkga,17,2,0.6826253936102307,,-0.69085,49.38,20,0
INDIAN,clust,brkga,18,2,0.6996454829904378,,-0.708923,57.48,20,0
INDIAN,clust,brkga,19,2,0.7496658963697522,,-0.753336,61.88,20,0
