dataset_id,group,metaheuristic,seed,k,msi,ari,internal_cost,time_to_best,eval_count,cache_hits
INDIAN,clust,vns,0,2,0.7583221535757007,,-0.760506,18.96,20,0
INDIAN,clust,vns,1,2,0.7643417089640135,,-0.766058,55.09,20,0
INDIAN,clust,vns,2,2,0.7806992683028654,,-0.781298,57.39,20,0
INDIAN,clust,vns,3,2,0.7101721539142832,,-0.72032,57.41,20,0
INDIAN,clust,vns,4,2,0.7607386671628804,,-0.764275,32.23,20,0
INDIAN,clust,vns,5,2,0.763584144105003,,-0.766363,59.59,20,0
INDIAN,clust,vns,6,2,0.7560564677209799,,-0.758724,26.22,20,0
INDIAN,clust,vns,7,2,0.7480253123518774,,-0.747909,43.99,20,0
INDIAN,clust,vns,8,2,0.7605313270389442,,-0.763814,38.32,20,0
INDIAN,clust,vns,9,2,0.7650634076962974,,-0.768477,34.68,20,0
INDIAN,clust,vns,10,2,0.7648422060005164,,-0.766577,42.81,20,0
INDIAN,clust,vns,11,2,0.761005570549799,,-0.763548,33.62,20,0
INDIAN,clust,vns,12,2,0.7648422060005164,,-0.766577,60.57,20,0
INDIAN,clust,vns,13,2,0.7470697130588095,,-0.757396,45.72,20,0
INDIAN,clust,vns,14,2,0.7521831344247212,,-0.755271,28.54,20,0
INDIAN,clust,vns,15,2,0.7363407214063653,,-0.745798,57.91,20,0
INDIAN,clust,vns,16,2,0.7560564677209799,,-0.758724,25.81,20,0
INDIAN,clust,vns,17,2,0.745666125986648,,-0.744987,59.9,20,0
INDIAN,clust,vns,18,2,0.766564652202929,,-0.767913,58.14,20,0
INDIAN,clust,vns,19,2,0.7169322125257994,,-0.716493,60.45,20,0
